No,Nama RS,Provinsi,Kota,Alamat,Telepon
646,OPTIK MELAWAI RUKO CEMPAKA PUTIH,DKI JAKARTA,JAKARTA PUSAT,"JL. CEMPAKA PUTIH RAYA NO 104A KEL. CEMPAKA PUTIH TIMUR, KEC. CEMPAKA PUTIH",0815-1416-6716
647,HAPPY DENTAL CLINIC GRAND INDONESIA,DKI JAKARTA,JAKARTA PUSAT,"GRAND INDONESIA LAT.3 UNIT WM-3-07 JL. TELUK BETUNG I NO. 45A KEBON MELATI, TANAH ABANG",0811-10500061|
648,OPTIK MELAWAI CITYWALK SUDIRMAN,DKI JAKARTA,JAKARTA PUSAT,"GF 2 - JL. KH MAS MANSYUR NO.10 KEL. KARET TENGSIN, KEC. TANAH ABANG",0815-1423-4698|
649,OPTIK MELAWAI SENAYAN PARK,DKI JAKARTA,JAKARTA PUSAT,"LT. UG NO.66  JL. GERBANG PEMUDA NO.3, KEL. GELORA, KEC. TANAH ABANG, JAKARTA PUSAT",0815-8532-6844|
650,KLINIK PERTAMINA IHC KANTOR PUSAT PERTAMINA,DKI JAKARTA,JAKARTA PUSAT,"GRHA PERTAMINA, TOWER FASTRON, LANTAI 6, JLN MERDEKA TIMUR NO 12, KEL. GAMBIR, KEC. GAMBIR",021-3816104/3815970/3815687||
651,KLINIK AUDY DENTAL CILEDUG,DKI JAKARTA,JAKARTA SELATAN,"JL. CILEDUG RAYA NO.73F 1, RT.1/RW.1, PETUKANGAN UTARA, KEC. PESANGGRAHAN, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",0811-1220-1876
652,KLINIK AUDY DENTAL JAGAKARSA,DKI JAKARTA,JAKARTA SELATAN,"KOMPLEK KAHFI SQUARE, JL. MOH. KAHFI 1 NO.36I, RT.7/RW.1, CIGANJUR, KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",021-3881-0072
653,OPTIK MELAWAI LIPPO MALL NUSANTARA,DKI JAKARTA,JAKARTA SELATAN,"JL. JENDERAL SUDIRMAN KAV 50, KEL. KARET SEMANGGI, KEC. SETIABUDI",0815-1988-3988
654,BRAWIJAYA WOMEN & CHILDREN HOSPITAL,DKI JAKARTA,JAKARTA SELATAN,Jl.  Taman Brawijaya No.1 Cipete Utara,'021 - 7211337/ 021-7247181
655,RS ZAHIRAH,DKI JAKARTA,JAKARTA SELATAN,Jl. Sirsak No.21. Jagakarsa,'021-78888723 / 7872210
656,RS TRIA DIPA,DKI JAKARTA,JAKARTA SELATAN,Jl.  Raya Pasar Minggu. No.3a. Pancoran,'021-7993058.7974071-73
657,RS TEBET,DKI JAKARTA,JAKARTA SELATAN,Jl. Letjend Mt. Haryono No.8 Kav.13. Pancoran,'(021) 8307542/ 43/ 44
658,KLINIK MEDIKA PLAZA BELTWAY,DKI JAKARTA,JAKARTA SELATAN,Beltway Office Park . Gd Annex Lt. 1 Jl. Ampera Raya No. 9-10. Ragunan Pasar Minggu,'(021) 30027070-1500918
659,MEDIKA PLAZA WTC 2 CLINIC,DKI JAKARTA,JAKARTA SELATAN,Wtc 2 Lower Ground Floor Jl. Jend. Sudirman Kav 29,'021-29522611
660,RS METROPOLITAN MEDICAL CENTRE (MMC),DKI JAKARTA,JAKARTA SELATAN,Jl. Hr. Rasuna Said. Kav. C21. Kuningan,021- 5203435
661,MAYAPADA HOSPITAL JAKARTA SELATAN (MHJS),DKI JAKARTA,JAKARTA SELATAN,Jl. Lebak Bulus I Kav.29,'021-29536660 / 29208505 / 29217777
662,RSU YADIKA CIPUTAT,DKI JAKARTA,JAKARTA SELATAN,Jl.  Ciputat Raya. No.5. Kebayoran Lama,'021-7291074
663,BIDAKARA MEDICAL CENTER (BIMC),DKI JAKARTA,JAKARTA SELATAN,Gedung Bina Sentra. Lt.Dasar. Komp.Bidakara. Kav.71-73. Pancoran,'021-83783535/83783636
664,RS PRIKASIH,DKI JAKARTA,JAKARTA SELATAN,Jl.  Rs. Fatmawati. No.74. Pondok Lab. U - Cilandak,'021-7501192/7504669/75901174021 - 7504669
665,RS PUSAT PERTAMINA,DKI JAKARTA,JAKARTA SELATAN,Jl.  Kyai Maja 43. Kebayoran Baru,'(021) 7219555; 7219800
666,SUDIRMAN MEDICAL CENTER,DKI JAKARTA,JAKARTA SELATAN,Jl. Setiabudi Tengah No.18,'021-5203467
667,RS SETIA MITRA,DKI JAKARTA,JAKARTA SELATAN,Jl. Rs. Fatmawati. No.80-82. Cilandak,'021-7656000/7651021/7654676
668,KLINIK YADIKA PETUKANGAN,DKI JAKARTA,JAKARTA SELATAN,Jl. Damai Raya No.1 Petukangan Selatan - Jakarta Selatan,'021-7370881
669,SILOAM HOSPITALS SIMATUPANG (Hanya Berlaku Sistem Reimbursement),DKI JAKARTA,JAKARTA SELATAN,Jl. Ra Kartini No.8 Cilandak,021 2953 1900
670,DE BLITZR DENTAL CARE,DKI JAKARTA,JAKARTA SELATAN,Bellezza Shopping Arcade Lt.2 Unit 30&31 Jl.Letjen Soepeno No.34 Arteri Permata Hijau Jkt Selatan 12210,'021-25675742
671,KLINIK MHDC KALIBATA,DKI JAKARTA,JAKARTA SELATAN,Jl.Tmp Kalibata Raya No.1. Kalibata City Square. Ground Floor C-05,'021-79160026/021-29316950
672,MHDC BULOG,DKI JAKARTA,JAKARTA SELATAN,Gedung Bulog 2 Pusdiklat Ground Floor Jl. Kuningan Timur Blok M2/5,'021-5210284
673,KLINIK JMC DHARMA BHAKTI,DKI JAKARTA,JAKARTA SELATAN,Jl.  Cilandak Kko Raya No.45,'021-7823515  / 0217989123
674,KLINIK UTAMA CIPUTRA SMG EYE CLINIC,DKI JAKARTA,JAKARTA SELATAN,Lotte Shopping Avenue Floor 5 Ciputra World 1. Jl. Prof. Dr. Satrio Kav. 3-5. Kel. Karet Kec. Setiabudi. Jakarta Selatan,'(021) 29888138
675,RS MEDISTRA,DKI JAKARTA,JAKARTA SELATAN,Jl. Jend.Gatot Subroto Kav.49,021-5210200
676,RSU MUHAMMADIYAH TAMAN PURING,DKI JAKARTA,JAKARTA SELATAN,Jl. Gandaria I No.20 Kebayoran Baru,'021-7229623/7250243/7208358
677,RSIA ANDHIKA,DKI JAKARTA,JAKARTA SELATAN,Jl. Warung Sila No. 8 Rt. 006 Rw. 04 Gudang Baru. Ciganjur. Jagakarsa. Jakarta Selatan,'(021)7874612; 7863408; 78887087; 7863408
678,KLINIK MAYAPADA,DKI JAKARTA,JAKARTA SELATAN,Gd. Mayapada Tower Ii Lt.2. Jl.Jend.Sudirman  Kav.27. Karet. Setiabudi,(021) 29859988 / 29859999
679,RS SIAGA RAYA,DKI JAKARTA,JAKARTA SELATAN,Jl. Pejaten Barat Kav.4-8. Pasar Minggu,'021- 7972750
680,RS PONDOK INDAH,DKI JAKARTA,JAKARTA SELATAN,Jl.  Metro Duta. Kav. Ue. Pondok Indah,'021-7657525
681,MRCCC-SILOAM HOSPITALS SEMANGGI (Hanya Berlaku Sistem Reimbursement),DKI JAKARTA,JAKARTA SELATAN,Jl.  Garnisun 2-3 Karet. Semanggi Setiabudi (Belakang Univ. Atmajaya ) Jak- Sel,'021-29962888/800/788
682,AIC - MEDICAL IMAGING DIAGNOSTIC CENTER,DKI JAKARTA,JAKARTA SELATAN,Kuningan City Mall Lt.1 B-C -D. Jl. Prof Satrio Kav.18,'(021) 3005 1801/02
683,KLINIK UTAMA CIPUTRA MEDICAL CENTER,DKI JAKARTA,JAKARTA SELATAN,Lotte Shopping Avenue Fl.5 Ciputra World 1. Jl. Prof.Dr. Satrio Kav.3-5. Karet. Setiabudi,'021-29888137
684,SILOAM HOSPITALS ASRI (Hanya Berlaku Sistem Reimbursement),DKI JAKARTA,JAKARTA SELATAN,Jl. Duren Tiga Raya. No.20. Mampang. Pancoran,'021 27837900 / 7992211 / 27837999
685,KLINIK AJI WARAS KARANG TENGAH,DKI JAKARTA,JAKARTA SELATAN,Jl. Karang Tengah Raya No.60 Lebak Bulus. Cilandak,'(021) 75909473
686,KLINIK AJI WARAS CILANDAK,DKI JAKARTA,JAKARTA SELATAN,Jl. Cilandak Kko No.45a. Ragunan. Pasar Minggu,'(021) 78836308; 78835703
687,BRAWIJAYA CLINIC & LIFE STYLE,DKI JAKARTA,JAKARTA SELATAN,Jl. Kemang Raya. No. 83. Jakarta Selatan,'021-22717656/22716359
688,APOTIK FARMARIN VI RASAMALA,DKI JAKARTA,JAKARTA SELATAN,Wisma Ppbi Jl.  Rasamala No.2 Pancoran,'021-8290073
689,RSIA BUDHI JAYA,DKI JAKARTA,JAKARTA SELATAN,Jl. Dr. Saharjo. No.120,'021-8292672/8311722/021-8311722
690,KLINIK TRIAZ PERSADA,DKI JAKARTA,JAKARTA SELATAN,Graha Cimb Niaga Tower Lt.B1. Jl.  Jend. Sudirman Kav.58,'021- 2505770 / 2505250
691,RS GANDARIA,DKI JAKARTA,JAKARTA SELATAN,Jl.  Gandaria Tengah Ii. No.12-14. Kebayoran Baru,'021- 7250718/ 7203311
692,RS KHUSUS THT & BEDAH CIRANJANG,DKI JAKARTA,JAKARTA SELATAN,Jl. Ciranjang No.20-22 Kebayoran Baru,'021-7243366/7208192/7208192
693,APOTEK FARMARIN III BIDAKARA,DKI JAKARTA,JAKARTA SELATAN,Ged. Binasentra Komp. Bidakara Jl.  Gatot Soebroto Kav. 71 - 73 Jakarta,'021 - 83785219
694,RSU AULIA,DKI JAKARTA,JAKARTA SELATAN,Jl. Jeruk Raya No 15 Jagakars. A. Jakarta Selatan,'021-7270208/7866057/21798482/217198462
695,RSIA KEMANG MEDICAL CARE,DKI JAKARTA,JAKARTA SELATAN,Jl. Ampera Raya No.34. Kemang,'021-27545400/27545454/27545400/021-6317288
696,KLINIK SPESIALIS & APOTEK RSB. ESTI,DKI JAKARTA,JAKARTA SELATAN,Jl. Bangka Raya. No.28-30. Pela Mampang,'021-7194434-35
697,BRAWIJAYA HOSPITAL DUREN TIGA D/H RSIA. DUREN TIGA,DKI JAKARTA,JAKARTA SELATAN,Jl. Duren Tiga Raya No.5. Pancoran,'021 - 7976605 / 50806438
698,RS JAKARTA MEDICAL CENTER,DKI JAKARTA,JAKARTA SELATAN,Jl. Buncit Raya No.15,'(021)7940836-37/7980888/7985177
699,BIC CLINIC BUNDA PACIFIC PLACE,DKI JAKARTA,JAKARTA SELATAN,Pacific Place. Level B1 - 17a. Jl. Jend.Sudirman Kav.52-53,'021-57973781/93
700,RS AGUNG,DKI JAKARTA,JAKARTA SELATAN,Jl.  Sultan Agung. No.67. Pasar Rumput,'0218294955.8305768/9.8282795.83794207
701,LAB PRODIA PASAR MINGGU,DKI JAKARTA,JAKARTA SELATAN,Jl. Raya Pasar Minggu/ 98e. Pejaten Barat. Pasar Minggu,'021-7986247/7901922/79184723
702,PRODIA BONA INDAH,DKI JAKARTA,JAKARTA SELATAN,Ruko Bona Indah Blok A2/ Kav. C7. Jl.  Karang Tengah Raya Lebak Bulus. Jakarta 12440,'021-7661366 / 7506715
703,PRODIA KAMPUNG MELAYU,DKI JAKARTA,JAKARTA SELATAN,Jl.  Kh Abdullah Syafei No. 28kebon Baru. Tebet Jakarta Selatan. 12830,'(021) 8308055. 8304268
704,LAB PRODIA KEBAYORAN,DKI JAKARTA,JAKARTA SELATAN,Jl. Gunawarman No.77. Kebayoran Baru,'021-7220203/72786933
705,KLINIK MHDC MENARA JAMSOSTEK,DKI JAKARTA,JAKARTA SELATAN,"MENARA UTARA LT.1, GD. MENARA JAMSOSTEK JL. JEND.GATOT SUBROTO KAV.38 KUNINGAN BARAT, MAMPANG PRAPATAN",021-5296 1525
706,KLINIK MEDIKIDS BY MHDC KEMANG,DKI JAKARTA,JAKARTA SELATAN,"JL. BENDA RAYA NO.98 C, CILANDAK TIMUR, PASAR MINGGU",021-780 1541
707,SILOAM HOSPITALS MAMPANG (Hanya Berlaku Sistem Reimbursement),DKI JAKARTA,JAKARTA SELATAN,"JL. MAMPANG PRAPATAN XVI NO.22 DUREN TIGA, PANCORAN",021-50102911|
708,KLINIK MHDC MENARA SENTRAYA,DKI JAKARTA,JAKARTA SELATAN,"MENARA SENTRAYA GF UNIT B1, JL. ISKANDARSYAH RAYA NO. 1A, RT.3/RW.1",021-27881766
709,MAYAPADA HOSPITAL KUNINGAN,DKI JAKARTA,JAKARTA SELATAN,JL. RASUNA SAID KAV.C-17 KARET KUNINGAN,021-50912929
710,RS BRAWIJAYA SAHARJO,DKI JAKARTA,JAKARTA SELATAN,JL. DR.SAHARJO NO.199 TEBET BARAT,021-39737890|
711,RS KHUSUS MATA NUSANTARA D/H KMN LEBAK BULUS,DKI JAKARTA,JAKARTA SELATAN,JL. R.A. KARTINI NO.99 LEBAK BULUS,(021) 751 6688
712,KLINIK UTAMA SMEC EYE CARE & OPTICS KUNINGAN CITY,DKI JAKARTA,JAKARTA SELATAN,"KUNINGAN CITY MALL L1-36 LT.1 JL. PROF.DR.SATRIO KAV.18 KARET KUNINGAN, SETIA BUDI",021-50101674
713,KLINIK UTAMA SUMATERA EYE CENTER (SMEC) TEBET,DKI JAKARTA,JAKARTA SELATAN,"JL. PERSADA RAYA NO.70 B RT.03/RW.15 MENTENG DALAM, TEBET",021-22832662
714,OPTIK MELAWAI CILEDUG RAYA,DKI JAKARTA,JAKARTA SELATAN,JL.CILEDUG RAYA NO.17,021-73690612
715,OPTIK MELAWAI GALLERY,DKI JAKARTA,JAKARTA SELATAN,"Jl. Melawai Raya No. 191, Kramat Pela",021-72527668
716,OPTIK MELAWAI BLOK M PLAZA,DKI JAKARTA,JAKARTA SELATAN,"Plaza Blok M Lt. 2 No. 2-4, Jl. Bulungan No. 2, Kebayoran Baru",021-7209139
717,OPTIK MELAWAI CILANDAK LINGKAR LUAR (CILANDAK TOWN SQUARE),DKI JAKARTA,JAKARTA SELATAN,CILANDAK TOWN SQUARE LT.1 UNIT 110,021-75920399
718,OPTIK MELAWAI DARMAWANGSA SQUARE,DKI JAKARTA,JAKARTA SELATAN,"Darmawangsa Square Lt. 1 Unit 19, Jl. Darmawangsa 6",021-72787240
719,OPTIK MELAWAI GANDARIA CITY,DKI JAKARTA,JAKARTA SELATAN,"Gandaria City Mall, GF G-68, Jl. Sultan Iskandar Muda",021-29053154
720,OPTIK MELAWAI KALIBATA CITY,DKI JAKARTA,JAKARTA SELATAN,Jl. Raya Kalibata No. 1,021-29316918
721,OPTIK MELAWAI KALIBATA MALL II,DKI JAKARTA,JAKARTA SELATAN,KALIBATA PLAZA LOBY NO. L 53,021-7970850
722,OPTIK MELAWAI KEMANG RAYA,DKI JAKARTA,JAKARTA SELATAN,JL. KEMANG RAYA NO.5,021-71790715
723,OPTIK MELAWAI KOTA KASABLANKA,DKI JAKARTA,JAKARTA SELATAN,"Mall Casablanca Lt. UG No. 23, Jl. Casablanca No. 88",021-29464942
724,OPTIK MELAWAI KUNINGAN CITY,DKI JAKARTA,JAKARTA SELATAN,KUNINGAN CITY LT.UG NO.16,021-30480554
725,OPTIK MELAWAI LIPPOMALL KEMANG,DKI JAKARTA,JAKARTA SELATAN,LIPPOMALL KEMANG UG NO.27,021-29056847
726,OPTIK MELAWAI LOTTE AVENUE KUNINGAN,DKI JAKARTA,JAKARTA SELATAN,Lotte Avenue LT. 1 UNIT 1F-022,021-29889130
727,OPTIK MELAWAI MALL AMBASSADOR,DKI JAKARTA,JAKARTA SELATAN,Mall Ambasador LT. UG NO. 1,021-5760089
728,OPTIK MELAWAI MALL PEJATEN VILLAGE,DKI JAKARTA,JAKARTA SELATAN,"Mall Pejaten Village GF, Jl. Warung Jati Barat No. 39",021-7800412
729,OPTIK MELAWAI OPKEL FATMAWATI,DKI JAKARTA,JAKARTA SELATAN,JL. RS FATMAWATI NO.37,021-7509882
730,OPTIK MELAWAI PACIFIC PLACE CBD,DKI JAKARTA,JAKARTA SELATAN,Jl. Jend. Sudirman No. 52-53,021-51402757
731,OPTIK MELAWAI PONDOK INDAH MALL,DKI JAKARTA,JAKARTA SELATAN,Pondok Indah Mall 1 lt. dasar No. 40,021-7506727
732,OPTIK MELAWAI PONDOK INDAH MALL II,DKI JAKARTA,JAKARTA SELATAN,"Pondok Indah Mall 2 Lt. 1, No. 109",021-75920439
733,OPTIK MELAWAI RUKO PASAR MINGGU,DKI JAKARTA,JAKARTA SELATAN,Jl. Raya Pasar Minggu No. 44,021-79195818
734,OPTIK MELAWAI TEBET,DKI JAKARTA,JAKARTA SELATAN,Jl. Tebet Raya No. 9,021-8318790
735,OPTIK MELAWAI TEBET SUPOMO 30,DKI JAKARTA,JAKARTA SELATAN,Jl. Prof DR. Soepomo No. 30,021-83783299
736,OPTIK MELAWAI TRANSMART CILANDAK,DKI JAKARTA,JAKARTA SELATAN,TRANSMART CILANDAK LT.1 NO.9,021-78844504
737,AUDY DENTAL KUNINGAN,DKI JAKARTA,JAKARTA SELATAN,"TOKOPEDIA TOWER CIPUTRA WORLD 2 LANTAI 12 UNIT 7-9, JL. PROF.DR.SATRIO KAV.11, SETIABUDI",(021) 25984754
738,AUDY DENTAL KEMANG,DKI JAKARTA,JAKARTA SELATAN,"JL BANGKA RAYA NO.40 E, KEMANG",(021) 71794428
739,AUDY DENTAL CIPETE,DKI JAKARTA,JAKARTA SELATAN,"JL. CIPETE RAYA NO.55, CIPETE",(021) 29124856
740,TOOTHS KINGDOM DENTAL CARE CIPETE,DKI JAKARTA,JAKARTA SELATAN,"JL. CIPETE RAYA NO 27C, RT 008 /RW 004, CIPETE SELATAN, KEC. CILANDAK",0877-7077-6045|
741,OPTIK SEIS PONDOK INDAH MALL II,DKI JAKARTA,JAKARTA SELATAN,LANTAI DASAR NO. G-20 JL.  KARTIKA UTAMA V-TA,(021) 75920500|
742,OPTIK SEIS MELAWAI RAYA (NO. 65),DKI JAKARTA,JAKARTA SELATAN,JL. MELAWAI RAYA NO. 65 KEBAYORAN BARU,"(021) 7262206, 7262687|"
743,OPTIK SEIS MELAWAI IX (NO.28),DKI JAKARTA,JAKARTA SELATAN,JL. MELAWAI IX NO.28 BLOK M KEBAYORAN BARU,"(021) 7203709, 7251458|"
744,OPTIK SEIS MAL PONDOK INDAH I,DKI JAKARTA,JAKARTA SELATAN,"LANTAI DASAR NO. 012 & 013 JL.  METRO PONDOK INDAH KAV IV/TA PONDOK INDAH, JAKARTA SELATAN 12310","(021) 7506790, 7692331|"
745,OPTIK SEIS PLAZA BLOK M,DKI JAKARTA,JAKARTA SELATAN,UNIT UG 16-17 JL.  BULUNGAN NO. 76 JAKARTA SELATAN 12130,(021) 7209424|
746,OPTIK SEIS CILANDAK TOWN SQUARE,DKI JAKARTA,JAKARTA SELATAN,LEVEL 2 (FIRST FLOOR) NO.139 JL. TB.SIMATUPANG,(021) 75920339|
747,OPTIK SEIS PLAZA SEMANGGI,DKI JAKARTA,JAKARTA SELATAN,LANTAI UG NO. 036 KAWASAN BISNIS GRANADA JL.  JENDERAL SUDIRMAN KAV. 50 JAKARTA 12930,(021) 25536328|
748,OPTIK SEIS PACIFIC PLACE,DKI JAKARTA,JAKARTA SELATAN,3RD FLOOR NO. 3-41A JL.  JEND. SUDIRMAN KAV.25 JAKARTA SELATAN 12190,(021) 57973117|
749,OPTIK SEIS MALL PEJATEN VILLAGE,DKI JAKARTA,JAKARTA SELATAN,LANTAI DASAR NO. G-18 JL.  WARUNG JATI BARAT NO. 39 JATI PADANG - PASAR MINGGU,(021) 7827068|
750,OPTIK SEIS GANDARIA CITY MALL,DKI JAKARTA,JAKARTA SELATAN,GROUND FLOOR NO. G-57B JL.  KH. M. SYAFI¿I HADZAMI NO. 8 JAKARTA SELATAN 12240,(021) 29053262|
751,OPTIK SEIS KALIBATA CITY,DKI JAKARTA,JAKARTA SELATAN,"LANTAI GF, BLOK C NO. 11 JL.  KALIBATA RAYA NO. 1 JAKARTA SELATAN - 12750",(021) 29316907|
752,OPTIK SEIS KUNINGAN CITY,DKI JAKARTA,JAKARTA SELATAN,"UPPER GROUND NO. UG-16 JL.  PROF. DR. SATRIO KAV. 18 SETIABUDI, KUNINGAN, JAKARTA 12940",(021) 30480528|
753,OPTIK SEIS KOTA KASABLANKA,DKI JAKARTA,JAKARTA SELATAN,UPPER GROUND FLOOR NO. UG-47 JL.  CASABLANCA RAYA KAV.88 JAKARTA 12870,(021) 29488499|
754,OPTIK SEIS LIPPO MALL KEMANG,DKI JAKARTA,JAKARTA SELATAN,UPPER GROUND NO. UG-30 JL.  PANGERAN ANTASARI NO.36 KEMANG JAKARTA 12150,(021) 29056893|
755,OPTIK SEIS LOTTE SHOPPING AVENUE,DKI JAKARTA,JAKARTA SELATAN,"CIPUTRA WORLD 1, LANTAI F4 NO. 23 JL.  PROF. DR. SATRIO KAV. 3-5 SETIABUDI, JAKARTA 12940",(021) 29889470|
756,OPTIK INTERNASIONAL FATMAWATI,DKI JAKARTA,JAKARTA SELATAN,"JL. RS. FATMAWATI NO.22 A, PENGAYOMAN - CIPETE",021-7692428
757,OPTIK INTERNASIONAL ITC KUNINGAN,DKI JAKARTA,JAKARTA SELATAN,JL. PROF.DR.SATRIO LT.DASAR BLOK.B4 NO.3-3A,021-57934916
758,OPTIK INTERNASIONAL POINS SQUARE,DKI JAKARTA,JAKARTA SELATAN,POINS SQUARE LT.GROUND BLOK A 135 JL. LINGKAR LUAR SELATAN,021-75921266
759,KLINIK LAMINA PAIN AND SPINE CENTER,DKI JAKARTA,JAKARTA SELATAN,"JL. WARUNG BUNCIT RAYA NO.34, RT.7/RW.5, KALIBATA, PANCORAN",(021) 79196999
760,APOTEK POTENZA,DKI JAKARTA,JAKARTA SELATAN,"JL. SENOPATI NO.51, RT8/RW.3, SELONG, KEBAYORAN BARU",(021) 5213035
761,OPTIK SATURDAYS LIFESTYLE (LOTTE AVENUE),DKI JAKARTA,JAKARTA SELATAN,"LOTTE SHOPPING AVENUE 1ST FLOOR UNIT 1F-08 KARET KUNINGAN, SETIABUDI",087880738888|
762,OPTIK SATURDAYS GANDARIA CITY,DKI JAKARTA,JAKARTA SELATAN,"Gandaria City Mall UG Floor #IU-U01, Jl. Sultan Iskandar Muda",
763,OPTIK SATURDAYS ASHTA DISTRICT 8,DKI JAKARTA,JAKARTA SELATAN,"UNIT 1F-20, 1ST FL. ASHTA DISTRICT 8, DISTRICT 8, SCBD LOT 28, JL. JEND. SUDIRMAN KAV 52-53, RT.8/RW.3, KEC. KBY. BARU",0877-4955-2504
764,OPTIK SATURDAYS AEON TANJUNG BARAT,DKI JAKARTA,JAKARTA SELATAN,"UNIT 1-27, 1ST FLOOR, AEON TANJUNG BARAT, JL. RAYA TJ. BARAT NO.163, RT.12/RW.4, WEST TANJUNG, JAGAKARSA",0877-4955-2502
765,KLINIK UTAMA PALAPA DENTIST,DKI JAKARTA,JAKARTA SELATAN,"JL. PALAPA I NO.4 KOMPLEK PERTANIAN, PASAR MINGGU",021-29048890-91/7806291|
766,PRIME CARE CLINIC-PANGLIMA POLIM,DKI JAKARTA,JAKARTA SELATAN,"JL. PANGLIMA POLIM RAYA IX NO.16 RT.1/RW.7 MELAWAI, KEBAYORAN BARU",021-27083505
767,PRIME CARE CLINIC TEBET,DKI JAKARTA,JAKARTA SELATAN,JL. TEBET DALAM II NO.26,021-22902205|
768,HOLY SMILES DENTAL CLINIC,DKI JAKARTA,JAKARTA SELATAN,"PONDOK INDAH MALL 3 LT.LG NO.E5, JL. METRO PONDOK INDAH, PONDOK PINANG, KEBAYORAN LAMA",081316001226||
769,KLINIK PI DENTAL,DKI JAKARTA,JAKARTA SELATAN,PONDOK INDAH MALL II LT.2 NO.238C JL. METRO PONDOK INDAH BLOK III-B,021-75920450||
770,TEMBUNI BIRTH CENTER,DKI JAKARTA,JAKARTA SELATAN,"JL. KEMANG TIMUR VIII NO. L13, BANGKA, MAMPANG PRAPATAN",021-2271-5222 / 7198245||
771,KLINIK MENARA PT.YPK MANDIRI,DKI JAKARTA,JAKARTA SELATAN,"GEDUNG MENARA MANDIRI, JL. JEND SUDIRMAN NO. KAV. 54-56, LT. P3-04, SENAYAN",021-3909725||
772,KLINIK TIRTA MEDICAL CENTER JAKARTA,DKI JAKARTA,JAKARTA SELATAN,"BELLAGIO MALL O UG 17-20, KAWASAN MEGA KUNINGAN BARAT, KAV.E 43, SETIA BUDI",021-30066508||
773,OPTIK SEIS PONDOK INDAH MALL 3,DKI JAKARTA,JAKARTA SELATAN,"JL. METRO PONDOK INDAH KAV.IV/TA PONDOK INDAH, LT. 2 NO. 226",021-27814172|
774,OPTIK SEIS AEON TANJUNG BARAT,DKI JAKARTA,JAKARTA SELATAN,"AEON TANJUNG BARAT, FIRST FLOOR UNIT 1-10 JL. TANJUNG BARAT RAYA NO.163 JAGAKARSA",021-50942678|
775,OPTIK SEIS OWNDAYS PIM 3,DKI JAKARTA,JAKARTA SELATAN,"JL. METRO PONDOK INDAH KAV.IV/TA PONDOK INDAH, UNIT 226",021-27813708|
776,OPTIK SEIS ASTHA DISTRICT 8,DKI JAKARTA,JAKARTA SELATAN,"UG-27 JL. JEND SUDIRMAN KAV, 52-53, SCBD LOT.28, KEBAYORAN BARU",021-50111162|
777,OPTIK MELAWAI PONDOK INDAH MALL 3,DKI JAKARTA,JAKARTA SELATAN,"LT 2 UNIT 218 - JLN KARTIKA UTAMA NO. 1 PD PINANG, KEC. KEBAYORAN LAMA",0815-7313-8450|
778,HAPPY DENTAL CLINIC ONE BELPARK MALL,DKI JAKARTA,JAKARTA SELATAN,"ONE BELPARK MALL LT.LG, JL.RS.FATMAWATI NO.01 PONDOK LABU, CILANDAK",021-22764959 / 08151834977||
779,YABES DENTAL CLINIC,DKI JAKARTA,JAKARTA SELATAN,BELLAGIO MALL KAV. E.4.3 LT OUG.02  JL.MEGA KUNINGAN BARAT RT 005/02,021-30066701|
780,OPTIK MELAWAI ASHTA DISTRICT 8,DKI JAKARTA,JAKARTA SELATAN,"JL. JEND.SUDIRMAN  KAV.52-53 RT.008/RW.003, KEL. SENAYAN, KEC. KEBAYORAN BARU",021-50111165|
781,PARAHITA DIAGNOSTIC CENTER MAMPANG,DKI JAKARTA,JAKARTA SELATAN,JL.  WARUNG BUNCIT RAYA NO.150 MAMPANG,021-7949624||
782,KLINIK DR ABDUL RADJAK SUDIRMAN,DKI JAKARTA,JAKARTA SELATAN,"APARTEMEN TAMANSARI SUDIRMAN, Jalan Bek Murad No.42 RT.9/RW.1 Karet Kecamatan Setiabudi RT.9/RW.1,, Karet Kuningan, Kecamatan Setiabudi",021-5203467||
783,OPTIK SATURDAYS PONDOK INDAH MALL 2,DKI JAKARTA,JAKARTA SELATAN,"PONDOK INDAH MALL 2 LANTAI 3 NO. 330, JL. METRO PONDOK INDAH KAV. IV, RT.1/RW.16, PD. PINANG, KEBAYORAN LAMA",0812-8219-1948|
784,OPTIK SATURDAYS LIPPO KEMANG VILLAGE,DKI JAKARTA,JAKARTA SELATAN,"LIPPO MALL KEMANG VILLAGE UNIT NO.31, UPPER GROUND. JL. PANGERAN ANTASARI NO.36, BANGKA",0878-4955-2500|
785,LAB. KLINIK CITO JAKARTA SELATAN,DKI JAKARTA,JAKARTA SELATAN,JL. CENDRAWASIH NO.04,021-2793-3312 / 2277-4681||
786,FDC DENTAL CLINIC (MENTENG),DKI JAKARTA,JAKARTA SELATAN,"JL. MINANGKABAU TIMUR NO.44 RT.1/RW.1 PASAR MANGGIS, SETIABUDI",021-86601509| 28543411|
787,FDC DENTAL CLINIC (FATMAWATI),DKI JAKARTA,JAKARTA SELATAN,"Jl. RS. FATMAWATI RAYA NO.15A, RT.1/RW.4, GANDARIA UTARA, KEC. CILANDAK",021-27823796||
