Nama,Alamat,Telepon,Tags
Grestelina,Jl. Letjen Hertasning Raya No.51,0411-448855/448852,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Grha Bhakti Medika,Jl. Prof Dr Ir Ida Bagus Mantra No.99 Desa Negari Klungkung - Bali,0366-5584000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Grha Bunda,Jl. Terusan Jakarta No.15-17 Bandung,022-87256789,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Grha Husada,"Jl.  Padi No. 3 Komplek Pt Petrokimia Gresik, Jawa Timur",031-3984465/3973400,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Grha Kedoya,"Jl. Panjang No 26, Kedoya Utara",021-56982222/29910999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Grha MM 2100,"Kawasan Industri Mm2100, Jl. Kalimantan Blok Cb - 1, Cikarang Barat Bekasi",021-50570999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Grha Permata Ibu,"Jl. Kh. M. Usman 168,Kukusan Beji",021-7778899,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Griya Medika 24 Jam (Fikri Medika Group),"Perum Griya Ondang Asri, Desa Kondang Jaya, Kec. Karawang Timur. Karawang",0821-1203-9999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Gunung Sawo,"Jl. Gunung Sawo No. 21 Rt.08 Rw. 04, Kel. Petompon, Kec. Gajahmungkur, Semarang",024-8315171,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
H. Darjad,"Jl. Dahlia, No.4",0541-732698/734123/732609,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
H.L. Manambai Abdulkadir,"Jl. Lintas Sumbawa - Bima Km.05 Seketeng, Sumbawa Ntb",0371-2628078,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
H2E Dental Clinic,"Menara Kuningan,Jl.  Hr. Rasuna Said Block X-7 Lt1. Unit I, Kuningan",021-30040151/152,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Haji Jakarta,"Jl. Raya Pondok Gede No. 4 Pinang Ranti, Makasar, Jakarta Timur",021-8000693/95,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Handil (HOHC),"Jl. Moch. Hatta No.29 Kec.Muara Jawa, Kutai Kartanegara, Kalimantan Timur",0541-692157,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hanuro,"Komplek Pemda Jatiasih, Jl. Yudhistira Raya Blok B6 No.61 Rt.06/Rw.01 Bekasi Jawa Barat",021-82740833,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Aeon Mall Tanjung Barat,"Aeon Mall Tanjung Barat Lat 2 Jl. Raya Tanjung Barat, Jagakarsa",0811-499191,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Baywalk Mall,"Baywalk Mall Lt.4 Jl.Pluit Karang Ayu, Penjaringan Jakarta Utara",021-29629505 / 0812-94781570,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Ciputra Mall,"Ciputra Mall Lt.4 Jl. S Parman, Grogol, Petamburan Jakarta Barat",021-5605409 / 0819-11065357,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Citos,"Cilandak Town Square Lat.2 Lat 156 Cilandak Barat, Jakarta Selatan",0878-5287-1436,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Gading Serpong,"Jl. Bulevard Gading Serpong Ruko Fifth Avenue Blok A No.27, Tangerang Banten",0811-8296777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Grand Batam Mall,"Grand Batam Mall Lat.Lg No.12 Batu Selicin, Lubuk Baja Batam Riau",0821-70238828,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Grand Indonesia,"Grand Indonesia Lat.3 Unit Wm-3-07 Jl. Teluk Betung I No. 45A Kebon Melati, Tanah Abang",0811-10500061,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Green Pramuka Square,"Green Pramuka Square Lt. Lg Unit 08 D, Jl.Jend.A.Yani Kav.49 Rawasari, Cempaka Putih Jakarta Pusat",021-29624834,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Living World Denpasar,"Living World Denpasar Lt. 2 Jl. Gatot Soebroto Tim, Tonja Denpasar Utara Kota Denpasar Bali",0813-8113-555,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Mal Ciputra Cibubur,"Ciputra Cibubur Lt.2, Jl. Alternatif Cibubur, Jatikarya, Jati Sampurna, Bekasi Jawa Barat",021-29376835,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Mall Kelapa Gading,"Summarecon Mall Kelapa Gading 2 Unit 2F-30 Kelapa Gading, Jakarta Utara",0811-9901166,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic One Belpark Mall,"One Belpark Mall LT. LG, Jl. RS Fatmawati No.01 Pondok Labu, Cilandak Jakarta Selatan",021-22764959,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Palembang Icon Mall,"Palembang Icon Mall, 3Rd Floor, Lorok Pakjo, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30137",08179009191,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Pik Avenue,Pik Avenue Lt.1 Jl. Pantai Utara I No.6 Kamal Muara Jakarta Utara,0813-81291918,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Puri Indah Mall,"Puri Indah Mall Lantai Lg No.19, Jl. Puri Agung Rt.01/ Rw.02, Kembangan Selatan, Kembangan Jakarta Barat",021- 5835 7196,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Summarecon Bekasi,Jl.Bulevar Ahmad Yani Blok M Kel. Marga Mulya Kec. Bekasi Utara Kota Bekasi Jawa Barat 17142,0821-21711787,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Summarecon Mall Serpong,"Summarecon Mall Serpong Lt.1 Gading Serpong Sentra Jl. Boulevard Raya Gading Serpong Kelapa Dua, Tangerang",0817-0777921,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Supermall Karawaci,"Supermall Karawaci Lantai Ff No.16 Jalan Boulevard Kelapa Dua Kel. Kelapa Dua, Kec. Kelapa Dua, Kab. Tangerang, Banten",0811-8112-8899,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Trans Studio Mall Bandung,Trans Studio Mall Bandung Lt.3 A12 Jl. Gatot Subroto No. 289 Cibangkong Batununggal Bandung,0817-0777921,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Trans Studio Mall Makasar,"Trans Studio Mall Makasar Lantai Lgm 03 Jl Haji Muhammad Daeng Patompo Metro Tanjeung Bunga Kel. Mccini Tombala Kec. Tamalate, Kota Makasar, Sulawesi Selatan",0812-3450-8842,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Dental Clinic Transpark Mall Bintaro,"Transpark Bintaro Lt.1 Jl. Prof Dr Satrio No.5 Pd Jaya, Kec. Pondok Aren, Tangerang Selatan Banten 15220",021-39700742,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Happy Teeth Dental Care,Ruko Fiera Boulevard Fr.D/05 - Graha Raya Bintaro - Pondok Kacang Barat Pondok Aren Tangerang,021-29861756,"AXA Mandiri Financial Services, Mandiri AXA General Insurance, Corporate Solution, Individu Solution"
Happyland Medical Center,"Jl. Ipda Tut Harsono No.53 Timoho, Yogyakarta",0274-550060,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Bersama Singkawang,Jl. N.P Belitung No.61 Singkawang,0562-631791,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Bunda,Jl. Raya Bogor KM.22 No. 44 Jakarta Timur,021-8400257,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Bunda Bandung,"Jl. Pluto Raya Blok C RT.001 RW.002 Kel. Margasari, Kec. Buahbatu, Bandung 40286",021-7506490,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Bunda Lampung,Jl. Raya Lintas Sumatera No.30 Seputih Jaya Lampung Tengah,0725-26766,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Ibu Purbalingga,Jl. Mayjend Soengkono No. 1 Purbalingga,0281-892222/982277,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Keluarga,"Jl. Kasuari Raya Kav.1A-1B, Kota Jababeka, Cikarang Baru",021-89840745,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Keluarga Mataram,"Jl. Ahmad Yani No. 9 Selagalas, Sandubaya, Mataram - Lombok",0370-670000/6177027,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Kita,"Jl. Let.Jend S.Parman Kav. 87, Slipi, Jakarta Barat 11420",021-5668284/5686404/5683053,"AXA Mandiri Financial Services, Corporate Solution"
Harapan Magelang,"Jl. P. Senopati, No.11",0293-364033-35,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Medika Ujung Batu,"Jl. Jend Sudirman Ujung Batu, Ujung Batu",0762-7363579,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Pematang Siantar,Jl. Farel Pasaribu No. 21 Pematangsiantar,0622-21162/21612,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Sehat Cibitung,Jl. Teuku Umar No.33 Cibitung,021-88336674,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Sehat II,"Ruko Telaga Harapan Blok F No.16, Perumahan Telaga Harapan, Cikarang Barat",021-8904519,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Sehat III,"Ruko Green Emerlad Blok R No.9&10, Jl. Telaga Asih Wanajaya Cibitung-Bekasi",021- 88336674,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harapan Sehati,"Jl. Raya Tegar Beriman Bojong Baru, Bojong Gede Kab. Bogor Jawa Barat 16913",021-87972380 / 87972985,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Harum Sisma Medika,"Jl. Tarum Barat, Kalimalang Jaktim",021-8617212/3,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hasanah Graha Afiah,Jl. Raden Saleh No.42 Depok,021-77826267/ 77826276,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Heartology Cardiovascular Hospital,Jl. Birah III No.4 Kebayoran Baru Jakarta Selatan,021-50959955,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Helsa Jatirahayu (d/h Persada Medika Jati Rahayu),Jl. Raya Hankam No.17 Pondok Melati Bekasi,021-8462566 / 8462565,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hendra Hidayat Dental Center,"Thamrin City-Office Suite Fl.3 Unit 2, Jl. KH. Mas Mansyur, Jakarta Pusat",021-31997482,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hendra Hidayat Implant Center,"Sahid Sudirman Residence Lt.1 Unit 1, Jl. Jend Sudirman No.86 Jakarta Pusat",021-52970102/104,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Aceh,"Jl. Soekarno-Hatta, Kec. Ingin Jaya, Kab. Aceh Besar, Aceh",0651-1500488,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Arcamanik,"Jl. Ah.Nasution, Km.7, No.50, Arcamanik Bandung",022-87242525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Balikpapan,"Jl. MT. Haryono No.45 Sepinggan Baru, Balikpapan Selatan",0542 - 853252,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Banyumanik,"Jl. Jend. Polisi Anton Soedjarwo No.195A Kel.Srondol Wetan Kec.Banyumanik, Semarang",024-76488989,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Bekasi,"Jl. Kemakmuran, No.39, Margajaya",021-8842121/30,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Bitung,"Jl. Raya Serang KM.10 RT.01/RW04 Kel.Curung Desa Kadu, Kab.Tangerang",021-59497525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Bogor,"Jl. Ring Road-1, Kav.23,25,27, Perum. Tmn. Yasmin",0251-8382525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Ciawi,"Jl. Kampung Gadog Rt 001 Rw 003 Desa Pandansari Kec. Ciawi, Kab. Bogor Jawa Barat 16720",0251-8407575,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Ciledug (d/h Mutiara Bunda Ciledug),"Jl. Dr. Cipto Mangunkusumo, No.3, Ciledug",021-7301365/73454951,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Cilegon,"Kawasan PT. Bonauli Real Estate, Jl. Terusan Bonakarta RT 01 RW 01 Kel. Masigit, Kec. Jombang, Provinsi Banten",0254-8572525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Ciputat,"Jl. Ciputat Raya, No.2 Kertamukti Ciputat",021-74702525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Ciruas,"Jl.Raya Serang-Jakarta Km.9 Desa Ranjeng,Ciruas-Serang 42182",0254-281829,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Daan Mogot,"Jl. Kintamani Raya, No.2, Kaw. Daan Mogot Baru",021-5408989,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Depok,"Jl. Raya Siliwangi, No.50, Pancoran Mas",021-77202525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Galaxy,Jl. Gardenia Raya Selatan Blok Ba1 No.11,021-8222525/82417777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Grand Wisata,"Jl. Festival Boulevard Blok Ja No. I, Grand Wisata,",021-82651212,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Jatinegara,"Jl. Raya Jatinegara Barat, No.126",021-8191223/8513838/8504371,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Karawang,"Jl. Tuparev Sukasari RT.03 RW.04 Kel. Karawang Wetan, Kec.Karawang Timur, Karawang Jawa Barat",0267-8412525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Kemayoran,"Jl. Selangit Blok B.10 Kav.4 Kel.Gunung Sahari, Kemayoran, Jakarta Pusat",021-22602525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Kendari,"L. D.I Panjaitan Rt.06/Rw.03 Kel.Wundudopi, Kec.Baruga, Kota Kendari – Sulawesi Tenggara",0401-31925525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Lampung,"Jl. Tulang Bawang No. 21 / 23 Enggal, Bandar Lampung - Lampung",0721-240488 / 262310,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Madiun,Jl. Sido Makmur Ringroad Barat Rt. 028 Rw. 007 Kel.Manguharjo Kec. Manguharjo Kota Madiun,0351-4108585,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Makassar,"Jl. Toddopuli Raya Timur Lorong Makassar, Borong, Manggala, Makassar, Sulawesi Selatan",0411-4091817,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Manado,Jl. Ringroad 2 Lingkungan I Kelurahan Paniki Bawah Kecamatan Mapanget Kota Manado,0431-7242525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Medan,Jl. Asrama/Ampera II Sei Sikambing C-II Medan Helvetia,061-80862525/80867690,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Mekarsari,Jl. Raya Cileungsi-Jonggol Km. 1 Cileungsi Kabupaten Bogor,021-29232525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Metland Cibitung,"Perumahan Metland Cibitung Jl. Raya Metland Cibitung, Telaga Murni, Cikarang Barat, Bekasi Jawa Barat",021-88362626,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Mutiara Bunda Salatiga,"Jl. Merak No.8 Klaseman Kel. Mangunsari, Kec.Sidomukti Kota Salatiga Jawa Tengah",0298-328873,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Nusantara,"Kawasan Ibukota Negara, Penajam, Paser Utara Kalimantan Timur",0542-8252520,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Opi Jakabaring,"Jl. Gub H.A Bastari Rt.026 Dusun Ii, Desa Sungai Kedukan Kec. Rambutan, Kab.Banyuasin Palembang Sumatera Selatan",0711-3031525|,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Padang,"Jl. Khatib Sulaiman Rt.01/Rw.12 Gunung Panggilun, Padang Utara Sumatera Barat",0751-8972525 / 8973535,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Palembang,Jl. Basuki Rahmat No.897 Rt.011/003 Kel.20 Ilir Ii Kec.Kemuning,0711-352525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Pandanaran Semarang,Jl. Pandanaran No.24,024-8411112/8442525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Pasteur,"Jl. Dr. Djundjunan, No.107, Pasteur",022-6072525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Pasuruan,"Jl. Raya Pasuruan - Probolinggo Km. 5, Pasuruan, Jawa Timur",0343-4742523,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
"Hermina Pekalongan
(D/H RS Mitra Bunda Pekalongan)",Jl. Jendral Sudirman No. 16A Kel. Podosugih Kec.Pekalongan Jawa Tengah,0285-4498888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
"Hermina Pekalongan
(D/H RS Mitra Bunda Pekalongan)",Jl. Jendral Sudirman No. 16A Kel. Podosugih Kec.Pekalongan Jawa Tengah,0285-4498888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Pekanbaru,Jl. Tuanku Tambusai Rt.03 Rw.02 Kel. Delima Kec. Tampan Pekanbaru Riau,0761-8412020,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Periuk Tangerang,"Jl. Raya Kutabumi Kp. Nagrak Kel. Periuk Kec. Periuk Kota, Tangerang - Banten",021-29432525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina PIK 2,"Jl. Raya Boulevard Osaka RT 01 RW 12 , kel salembaran Jaya Kec kosambi Kab Tangerang",021-39731611,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Podomoro,"Jl. Danau Agung 2, Blok E3, No.28-30, Sunter Agung, Podomoro",021-6404910/911,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Purwokerto,"Jl. Yos Sudarso No.2 Rejosari, Karanglewas Lor, Purwokerto Barat, Banyumas Jawa Tengah",0281-7772525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
HERMINA RUMBAI,"Jl. Khayangan No.53 Kel. Limbungan Baru Kec. Rumbai, Kota Pekanbaru,Riau",0813-7185-7644,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Samarinda,"Jl. Teuku Umar RT. 34 Kel. Karang Asem Ilir, Kec. Sungai Kunjang, Samarinda Kalimantan Timur 75126",0541-2090700,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Serpong,"Jl. Raya Puspitek KM. 8 No. 99 Serpong, Tangerang Selatan",021-75884999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Solo,JL. Kol Sutarto No. 16 Jebres Solo,0271-638989,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Soreang,JL. Terusan Al Fathu No.9 RT.2 RW.08 Sarilamping Kel.Soreang Kec. Soreang Bandung Jawa Barat,022-5892525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Sukabumi,"Jl. Raya Sukaraja Rt.003/03, Sukaraja",0266-6252525/6249292,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Tangerang,"Jl. Ks. Tubun, No.10, Pasar Baru Karawaci , Tangerang, Banten",021-55772525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Tangkubanprahu,"Jl. Tangkuban Prahu, No.33",0341-325082/354844-46,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Tasikmalaya,"Jl. Ir H. Juanda No.7A Kel.Cipedes, Kec. Cipedes, Tasikmalaya – Jawa Barat",0265-3172525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Wonogiri (d/h RS Medika Mulya Wonogiri),Jl. Raya Wonogiri Ngadirijo Km.5 Wonogiri Jawa Tengah,0273-5327365,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hermina Yogya,"Jl. Mataraman Hermina Ringinsari RT.06/RW.05 Maguwoharjo, Depok Sleman",0274-2800808/2800909,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Herna,"Jl. Majapahit No.118A, Medan",061-4510766,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hi Dental,"Jl. Boulevard Raya Gading Serong Blok BA-03/61 Pakulonan Barat Kec. Kelapa Dua, Tangerang Banten",0821-23131100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hineni Dental Clinic 1,"Griya Jakarta Jl.Menteng Raya B2 /19 Pamulang, Tangerang",021-7466243,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hineni Dental Clinic 2,Ruko Villa Melati Mas Blok SR 15/18 Bumi Serpong Damai Tangerang,021-5371941,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hj Bunda Halimah Batam,"Jl. Abulyatama No. 5 Desa/Kelurahan Belian, Kec Batam Kota, Kota Batam Kepulauan Riau 29464",0778-4161212,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hj. Siti Muniroh Tasikmalaya,"Jl. Taman Sari, Gobras, No.208 Tasikmalaya",0265-323868/327630,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Holy Smiles Dental Clinic,"Pondok Indah Mall 3 Lt.Lg No.E5, Jl. Metro Pondok Indah, Pondok Pinang, Kebayoran Lama Jakarta Selatan",021-27811184,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Horas Insani,Jl. Medan KM 2.5 Pematang Siantar,0622-433444/433877,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Hosana Medica Lippo Cikarang,Jl. Utama BII E No.1 Lippo Cikarang Bekasi,021-8972472,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Husada,"Jl. Raya Mangga Besar 137-139, Jakarta Pusat Bag Utara",021-6260108/6490090,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Husada Bunda,JL. Pahlawan Trip No. 2 Malang,0341-569634/566972/569799,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ibnu Siena Ngaliyan,Jl. Prof Hamka Ruko Segitiga Emas No.6-7 Semarang Jawa Tengah,024-76674346,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ibnu Siena Pusponjolo,Jl. Pusponjolo Tengah Raya No.65 Semarang Jawa Tengah,024-7609338,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ibnu Sina Ybw-Umi,"Jl.  Urip Sumoharjo, Km.5, No.264 Makassar Sulawesi Selatan Makassar",0411-452958,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ichsan Bintaro,"Kebayoran Arcade III Blok KA/E 1-22 Jl.Boulevard Bintaro Jaya Sektor 7, Bintaro Jaya Tangerang Selatan 15229",021-29521655,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ichsan Medical Center (IMC),"Jl. Raya Jombang No.56 Bintaro Sektor Ix, Tangerang",021-7456379/7456386,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
IEC EYE CARE THAMRIN NINE,"Chubb Square, Lt. 6, Jl. MH. Thamrin, Kav. 10, RT/RW 014/020, Kelurahan Kebon Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Provinsi DKI Jakarta, 10230",(021) 29932118,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ikhlas Medika 1,"Komplek Bumi Agung Permai 1,No. Di/6",0254-207918,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ikhlas Medika 2,Jl. Raya Serang - Jakarta (Depan Kampus Untirta),0254-284937,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ikhlas Medika IV,Pondok Cilegon Indah ( Pci ) Blok A 19/10 Cilegon,0254-7061935,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ilanur,JL.  Raya Serang No.1 Balaraja Tangerang,021-59450898/5953241,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Imanuel Way Halim,"Jl. Soekarno-Hatta, Way Halim",0721-704900704630/628,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
IMC,"Jl. Raya Ciamreme No 170-173 Ngamprah, Padalarang, Bandung Barat",022-6620923/6620965,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Imelda Pekerja Indonesia,Jl. Bilal No 24 Pulo Brayan Darat I Medan Timur,061-6610072/6631380,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Immanuel Bandung,Jl. Koppo No. 161,022-5201051/5201672/5224216,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Indriati Boyolali,Jl.Raya Boyolali-Solo Km 02 Mojosongo Boyolali Jawa Tengah,0276-3281010,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Indriati Solo,"Jl. Palem Raya Langenharjo, Grogol, Solo Baru, Sukoharjo, Solo Jawa Tengah",0271-5722000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Inhouse Klinik PT. Bukit Muria Jaya (BMJ),"PT. Bukit Muria Jaya, Jl. Karawang Interchange Resinda Ds.Purwadana Kec.Teluk Jambe Timur, Karawang, Jawa Barat",0267-601030,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Insan Permata,"JL. Bhayangkara I No.68, Kel.Pakujaya, Kec.Serpong Utara, Tangerang Selatan",021-53121344,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Insani,Jl. Pahlawan No. 80-81 Karang Asem Barat Bogor,021-87975653/87975654,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Insani Cibinong,"Jl. Mayor Oking, No.58A, Ciriung, Cibinong",021-87912006/8757567,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Intan Husada Garut,Jl. Mayor Suherman No.72 Rt.05/Rw.05 Tarogong Garut – Jawa Barat,0262-2247769,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Intan Medika,Jl. Giok No.77 Kel.Batu Intan Pangkal Pinang,0717-434099/436863,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Interna Medika,"JL. Melati No.9A RT.001/010 Guro II, Kel.Karawang Wetan, Kec.Karawang Timur, Karawang",0267-8452733,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
