nama_rumah_sakit,alamat,telp,text
Jantung Bina Waluya Cardiac Center,Jl. Tb Simatupang No.71,021-87781605/87781606,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Tb Simatupang No.71"
Jantung Diagram Depok (Siloam Group),"Jl. Cinere Raya No.19 Puri Cinere, Depok - Jawa Barat",021-50900100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Depok - Jawa Barat"
Jantung Harapan Kita,"Jl. Letjen. S. Parman Kav. 87 Slipi, Jakarta Barat 11420",021-5681111/5684085-93,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Barat 11420"
Jantung Jakarta,Jl. Matraman Raya No.23 Jakarta Timur,021-29361158/29361160,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Matraman Raya No.23 Jakarta Timur"
Jasa Kartini,Jl. Otto Iskandardinata No.15,0265-331808/331641,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Otto Iskandardinata No.15"
Jati Elok,"Komp. Bumi Jati Elok Blok A I No 7, Jl. Raya Legok-Parung Panjang km. 3,Malangnengah, Pagedangan, Tangerang, Banten",021-98496234,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Jati Sampurna,Jl. Studio Antv Kranggan,021-8451457,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Studio Antv Kranggan"
Jaya Abadi,Jl. Buahbatu No.245 Bandung,022-7317779,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Buahbatu No.245 Bandung"
Jaya Sentosa,Jl. Sunda No.75 Bandung,022-70988880,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Sunda No.75 Bandung"
Jb Medical Center,"Ruko Permata Junction Blok A.15, Jababeka 1, Cikarang",021-89846023,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang"
Jesslyn Medical Center,Perum.Taman Surya III Blok F/63 Cengkareng Jakarta Barat,021-54365638,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Perum.Taman Surya III Blok F/63 Cengkareng Jakarta Barat"
JIH Purwokerto,"Jl. Kh Ahmad Dahlan, Dusun Iii, Dukuhwaluh, Kembaran – Banyumas Jawa Tengah",0281-7779888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kembaran – Banyumas Jawa Tengah"
JIH Solo,Jl. Adi Sucipto No.118 Jajar Laweyan Surakarta Jawa Tengah,0271-7469100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Adi Sucipto No.118 Jajar Laweyan Surakarta Jawa Tengah"
Jmc Dharma Bhakti,Jl.  Cilandak Kko Raya No.45 Jakarta Selatan,021-7823515/7989123,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.  Cilandak Kko Raya No.45 Jakarta Selatan"
Jogja International Hospital (JIH),Jl. Ring Road Utara No. 160 Condong Catur Sleman,0274-4463535/4463190,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ring Road Utara No. 160 Condong Catur Sleman"
Juanda Kuningan,JL. IR. H. Juanda No.207 Kuningan Jawa Barat,0232-876433/875871,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | JL. IR. H. Juanda No.207 Kuningan Jawa Barat"
Juliana,"Jl. Raya Tajur No.75A Bogor, Jawa Barat",0251-8339593/8339591,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Juwita,Jl. M. Hasibuan No.78 - Bekasi,021-8829590/1,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. M. Hasibuan No.78 - Bekasi"
JWCC Asih (d/h RSIA Asih),Jl. Panglima Polim I No.34 Jakarta Selatan 12160,021-2700609,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Panglima Polim I No.34 Jakarta Selatan 12160"
Kalbu Intan Medika,"Jl. Basuki Rachmad No.888 Batu Intan Girimaya, Pangkal Pinang, Bangka Belitung",0717-434099,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bangka Belitung"
Kaliwates PTPN Nusantara XII,Jl. Diah Pitaloka No.1 Jember,0331-487104/426873/485912,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Diah Pitaloka No.1 Jember"
Kanker Dharmais,"Jl. Letjen S.Parman Kav.84-86, Slipi Jakarta Barat",021-5681570,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Slipi Jakarta Barat"
Karang Tengah Medika (Group Yadika),"Jl. Karyawan Iv, Karang Tengah Tangerang",021-7336699/7335599,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karang Tengah Tangerang"
Karina Medika (d/h Klinik Khusus Anak Masithoh),"Jl. Baru Kp.Krajan RT.01/01 Maracang Babakan Cikao, Purwakarta, Jawa Barat",0264-8220544,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Karisma,"Jl. Warung Cendol RT.10 RW.04 Rancasari Pamanukan, Subang, Jawa Barat",0260-550911,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Kartika,"Jl. WR. Supratman No.25 Rengas Ciputat Timur, Tangerang Selatan",021-7371987/73881646,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Selatan"
Kartika Cibadak,"JL. Siliwangi No.139, Cibadak, Sukabumi",0266-7160071,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sukabumi"
Kartika Husada Jati Asih,"Jl. Raya Jati Asih No 72 Jati Asih, Bekasi",021-82435585/82435587,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Kartika Husada Setu,Jl. Burangkeng Rt 01/06 Desa Burangkeng Setu Bekasi,021-82610003/82610005,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Burangkeng Rt 01/06 Desa Burangkeng Setu Bekasi"
Kartika Husada Tambun,"Jl. Mangun Jaya Raya Kp.Rukem Rt.003/013, Desa Mangun Jaya, Tambun - Bekasi",021-88338346/88327281/9172736,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tambun - Bekasi"
Kartika Kasih (d/h Kartika Medical Center),"Jl. Jend. A.Yani, No.18 Sukabumi",0266-6250902/6250905,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.18 Sukabumi"
Kartika Pulo Mas,Jl. Pulo Mas Timur K Blok G-H-C/1,021-4703333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Pulo Mas Timur K Blok G-H-C/1"
Kartini,"Jl. Ciledug Raya No. 94-96, Kel. Cipulir Kec. Kebayoran Lama, Jakarta Selatan",021-7245646/7207828,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan"
Kartini Lebak,"Jl. Sunan Kalijaga, No. 325 Blok Papanggo, Cijoro Pasir, Rangkasbitung Lebak -  Banten",0252-209333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Rangkasbitung Lebak -  Banten"
Kartini Mojokerto,"Jl. Erlangga, No.137, Mojosari, Mojokerto Jawa Timur",0321-592261,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Mojokerto Jawa Timur"
Karunia Bunda Tangerang,"Jl. Aria Santika No.28 Kel. Margasari, Kec. Karawaci Tangerang",021-5520356,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Karawaci Tangerang"
Karunia Kasih,"Jl. Raya Jatiwaringin No.133 Pondok Gede, Bekasi",021-8461970,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Karunia Medika Center,"Jl. Gatot Subroto No.37 RT.003/002 Cikarang Utara, Bekasi",021-89104266,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Karya Bhakti Pratiwi,Jl.Raya Dramaga KM.7 Dramaga Bogor,0251-8626868,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Raya Dramaga KM.7 Dramaga Bogor"
Karya Husada,"JL. Jend. A.Yani, No.98, Cikampek-Karawang",0264-316188-89,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikampek-Karawang"
Karya Medika Bantar Gebang,"Jl. Narogong KM 11, Bantar Gebang – Bekasi",021-8254629/8254630,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bantar Gebang – Bekasi"
Karya Medika I,"Jl. Ir. H. Juanda No. 38C, Bekasi Timur – Bekasi",021-8801293/8800381,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Timur – Bekasi"
Karya Medika II,"Jl. Sultan Hasannudin No. 63, Tambun – Bekasi",021-88324366/88327514,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tambun – Bekasi"
Karya Medika III (Apotik Mekar Asri),"Jl. Perjuangan No. 30C, Teluk Buyung – Bekasi Selatan",021-8851152,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Teluk Buyung – Bekasi Selatan"
Kasih Anugerah Serang Baru,"Jl. Raya Serang-Cibarusah Kp. Bunisari RT.07/04 Ds. Sukaragam, Serang Baru, Cikarang",021-89952605,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang"
Kasih Bunda,"Jl. Mahar Martanegara No. 166 Leuwigajah, Cimahi 40521",022-6614221/6630585,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cimahi 40521"
Kasih Bunda Depok,"Jl. Pekapuran Kampung Babakan No.17 Rt.02/Rw.04 Sukatani Tapos, Depok - Jawa Barat",021-8741527,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Depok - Jawa Barat"
Kasih Herlina Timika,Jl.A Yani No. 37 Timika - Papua,0901-321433,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.A Yani No. 37 Timika - Papua"
Kasih Ibu,"Jl.Propinsi RT.08 No.9 Desa Makkur Mulia,Kec.Satui Tanah Bumbu kalimantan Selatan",0554 - 21069/61157,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec.Satui Tanah Bumbu kalimantan Selatan"
Kasih Ibu Dalung Permai,"Kompleks Perum Bumi Dalung Permai, Blok C1-C4",0361-422150,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Blok C1-C4"
Kasih Ibu Denpasar,"Jl. Teuku Umar, No. 120",0361-223036/3003030,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No. 120"
Kasih Ibu Kedonganan,"Jl. Uluwatu, No.69A, Kedonganan",0361-703270,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kedonganan"
Kasih Ibu Manado,"Jl. Wolter Monginsidi 1 Kompleks Bahu Mall Blok C-23 Kel. Bahu Kec. Malalayang Manado, Sulawesi Utara",0431-834780/834667,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sulawesi Utara"
Kasih Ibu Saba Gianyar,"Jl. Raya Pantai Saba No.9 Desa Saba, Gianyar Bali",0361-3003333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Gianyar Bali"
Kasih Ibu Solo,Jl. Brigjend Slamet Riyadi No.404,0271-714422,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Brigjend Slamet Riyadi No.404"
Kasih Ibu Tabanan,Jl. Flamboyan No.9 Tegal Belodan Tabanan - Bali,0361 - 300 5757,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Flamboyan No.9 Tegal Belodan Tabanan - Bali"
Kasih Ibu Tegal,"Jl. Sultan Agung No.32, Randugunting Tegal Jawa Tengah",0283-355525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Randugunting Tegal Jawa Tengah"
Kasoem Grand Metropolitan Bekasi,"Lt. 1 No.25 A, Jl KH Noer Ali (Bekasi Selatan)",087790006487,"AXA Mandiri Financial Services, Corporate Solution | Jl KH Noer Ali (Bekasi Selatan)"
Kasoem Klinik Mata Suparman Cikampek,"Kl. Mata DR. Suparman (Cikampek) Jl. H. Juanda Sukaseuri No. 202 Sarimulya, Cikampek",087780811629,"AXA Mandiri Financial Services, Corporate Solution | Cikampek"
Kasoem Vision Care Botani,"Botani Square (Giant) Jl. Pajajaran Baranangsiang, Bogor",087780811650,"AXA Mandiri Financial Services, Corporate Solution | Bogor"
Kasoem Vision Care Buah Batu,"Buah Batu Jl Buah Batu No.209, Bandung",087790006518,"AXA Mandiri Financial Services, Corporate Solution | Bandung"
Kasoem Vision Care Cibinong City Mall,Lower Ground Floor No 44 - 45. JL Tegar Beriman No 1 Cibinong,087780811649,"AXA Mandiri Financial Services, Corporate Solution | Lower Ground Floor No 44 - 45. JL Tegar Beriman No 1 Cibinong"
Kasoem Vision Care Cikini,JL. Cikini Raya No. 18,087780811655,"AXA Mandiri Financial Services, Corporate Solution | JL. Cikini Raya No. 18"
Kasoem Vision Care Cilegon Center Mall,"Jl. Lt 1 -5A, Jalan Ahmad Yani, Sukmajaya,Cilegon Center Mall",087780811643,"AXA Mandiri Financial Services, Corporate Solution | Cilegon Center Mall"
Kasoem Vision Care Cirebon Super Block Mall,"Cirebon Super Block Mall Lt.1 Unit #1-0265, Cirebon",087728351843,"AXA Mandiri Financial Services, Corporate Solution | Cirebon"
Kasoem Vision Care Citimall Cianjur,Citimall Cianjur Baru Jl. KH Abdullah Binooh No.21,087790006516,"AXA Mandiri Financial Services, Corporate Solution | Citimall Cianjur Baru Jl. KH Abdullah Binooh No.21"
Kasoem Vision Care Gandaria City Mall,Gandaria City Mall Lt. GF #L-53 Jakarta Selatan,087790006510,"AXA Mandiri Financial Services, Corporate Solution | Gandaria City Mall Lt. GF #L-53 Jakarta Selatan"
Kasoem Vision Care Grage Mall,Grage Mall Lantai Dasar Jl. Tentara Pelajar No. 1 Cirebon,087780811628,"AXA Mandiri Financial Services, Corporate Solution | Grage Mall Lantai Dasar Jl. Tentara Pelajar No. 1 Cirebon"
Kasoem Vision Care Karawang Central Plaza,"Karawang Central Plaza Lantai Dasar Blok B-11 JL. Galuh Mas Raya, Kel. Sukaharja, Kec. Telukjembe Timur, Kab. Karawang",087780811631,"AXA Mandiri Financial Services, Corporate Solution | Kab. Karawang"
Kasoem Vision Care Klinik Afiat RS PMI Bogor,JL. Raya Pajajaran No.80,087780811651,"AXA Mandiri Financial Services, Corporate Solution | JL. Raya Pajajaran No.80"
Kasoem Vision Care Lippo Cikarang,"Lippo Mall Cikarang, Lt. 1",087790006537,"AXA Mandiri Financial Services, Corporate Solution | Lt. 1"
Kasoem Vision Care Mall Of Serang,"Lt 1 Mall Of Serang, Jl Akses Tol Serang Timur",087780811638,"AXA Mandiri Financial Services, Corporate Solution | Jl Akses Tol Serang Timur"
Kasoem Vision Care Pejaten,Jl. Taman Marga Satwa No. 18 Jakarta Selatan,087780811654,"AXA Mandiri Financial Services, Corporate Solution | Jl. Taman Marga Satwa No. 18 Jakarta Selatan"
Kasoem Vision Care Solo,"Jl Brigjend Katamso No.64, Tegalharjo Kec. Jebres (Sebrang RS Oen Kandang Sapi)",087790006509,"AXA Mandiri Financial Services, Corporate Solution | Tegalharjo Kec. Jebres (Sebrang RS Oen Kandang Sapi)"
Kasoem Vision Care Tangerang,"Jl. Kisamaun No. 143, Sukasari Tangerang, Banten",087780811645,"AXA Mandiri Financial Services, Corporate Solution | Banten"
Katolik Budi Rahayu Blitar,Jl. A.Yani Blitar,0342-801066/802316/807802,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. A.Yani Blitar"
Keluarga Kita,Jl. Raya Plp Curug No 8 Km.4,021-59491011/5986572,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Plp Curug No 8 Km.4"
Keluarga Pulo Ampel,"Jl. Salira Indah Ds.Sumuranja Puloampel Cilegon, Banten",0254-5751100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Keluarga Sehat Hospital,Jl. P.Sudirman No.9 Margorejo Pati 59163,0295-386111 / 386666,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. P.Sudirman No.9 Margorejo Pati 59163"
Keluarga Sehat Tayu,"Jl. Pati - Tayu Km.27, Desa Sendangrejo, Kec.Tayu, Pati – Jawa Tengah",0295-4591111,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pati – Jawa Tengah"
Keluarga Suralaya,"Jl. Cirata No.12 Pltu Suralaya, Merak, Cilegon - Banten",0254- 572100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cilegon - Banten"
Kemala,"Jl. Tarum Barat 2, Ruko Grand Artha Niaga 2 Blok O2 No. 23 - 23A Cikarang Jawa Barat",021-29083377 - 29083376,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Ruko Grand Artha Niaga 2 Blok O2 No. 23 - 23A Cikarang Jawa Barat"
Kemang Medical Care,"Jl. Ampera Raya, No.34,Kemang",021-27545454/27545400/6317288,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kemang"
Ken Saras,Jl. Soekarno Hatta Km 029,024-6922269,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Soekarno Hatta Km 029"
Kenari Graha Medika,Griya Kenari Mas Blok B2 Cileungsi,021-8230426/82499885/96684076,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Griya Kenari Mas Blok B2 Cileungsi"
Kendang Sari,Jl.Raya Kendang Sari No.38,031 – 8436200,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Raya Kendang Sari No.38"
Kendangsari Merr,"Jl. Dr. Ir. H. Soekarno No.2 Surabaya, Jawa Timur",031-3814388,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Timur"
Kenten (Group of Pertamina Prabumulih),Jl. AKBP Cek Agus Komperta No.07 Kel.Duku Kec.Ilir Timur II,0711-368758,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. AKBP Cek Agus Komperta No.07 Kel.Duku Kec.Ilir Timur II"
Kenten (Pertamina Group),Jl. AKBP Cek Agus Komperta No.07 Kel.Duku Kec.Ilir Timur II,0711-368758,"AXA Mandiri Financial Services, Individu Solution | Jl. AKBP Cek Agus Komperta No.07 Kel.Duku Kec.Ilir Timur II"
Kertha Usada,"Jl. Cendrawasih, No.57, Singaraja",0362-26277/8,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Singaraja"
Kesuma,"Jl. Iskandar No. 12 A, Pangkalan Bun, Kalimantan Tengah",0532-23935,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kalimantan Tengah"
Khanza Medika,Perum Kota Serang Baru Blok B 72 No.25-26 Cikarang Bekasi,021-89953361 / 081212565880,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Perum Kota Serang Baru Blok B 72 No.25-26 Cikarang Bekasi"
Kharitas Bhakti,Jl.Siam No 153 Pontianak,0561-734373,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Siam No 153 Pontianak"
Khusus Bedah & Kebidanan Syafira,Jl. Jend Sudirman No.134 Pekanbaru,0761-856517/35360,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend Sudirman No.134 Pekanbaru"
Khusus Bedah BIMC Nusa Dua,"Blok D Kawasan Btdc Nusa Dua, Bali",0361-3000911,"AXA Mandiri Financial Services, Individu Solution | Bali"
Khusus Bedah BIMC Nusa Dua (Siloam Hospitals Group),"Blok D Kawasan Btdc Nusa Dua, Bali",0361-3000911,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bali"
Khusus Bedah Halimun,"Jl. Halimun No.9 Rt.007/Rw.02 Guntur, Setiabudi - Jakarta Selatan",021-8311361,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Setiabudi - Jakarta Selatan"
Khusus Bedah Halmahera Siaga,Jl. LL .Re Martadinata No.28,022-4206061/70858254/4216436,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. LL .Re Martadinata No.28"
Khusus Bedah Setia Budi,"Jl. Mesjid No.3 Tanjung Rejo, Medan Sumatera Utara",061-8220995 / 8220996,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Medan Sumatera Utara"
Khusus Jantung Hasna Medika,"JL.  RD Gilap No.8 Palimanan Timur, Kab.Cirebon, Jawa Barat",0231-343405 / 343645,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Khusus Mata Nusantara Jakarta Selatan,Jl. R.A. Kartini No.99 Lebak Bulus Jakarta Selatan,021-7516688,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. R.A. Kartini No.99 Lebak Bulus Jakarta Selatan"
Khusus Mata Smec (Sumatera Eye Center) Jakarta,"Jl. Pemuda No.36, Rawamangun",021-4714848,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Rawamangun"
Khusus Tht-Bedah Proklamasi,Jl. Proklamasi No.43,021- 3900002,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Proklamasi No.43"
Kimia Farma,"Gedung Indosat Lt.23, Jl. Medan Merdeka Barat No.21 Jakarta Pusat",021-30003785,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Medan Merdeka Barat No.21 Jakarta Pusat"
Klinik Annisa II,"Jl. Raya Cibarusah No.31R, Komp.Ruko Point,Sukaresmi-Cikarang.Bekasi",021-8976189,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sukaresmi-Cikarang.Bekasi"
Klinik Annisa IV,Jl.Raya Cibarusah No.63 Serangbaru - Bekasi 17331,021-89954434,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Raya Cibarusah No.63 Serangbaru - Bekasi 17331"
Klinik Bic Bunda Pacific Place,"Pacific Place, Level B1 - 17A, Jl. Jend.Sudirman Kav.52-53 Jakarta Selatan",021-57973781 / 93,"AXA Mandiri Financial Services, Individu Solution | Jl. Jend.Sudirman Kav.52-53 Jakarta Selatan"
Klinik Cipto,"Jl. Yos Sudarso No.39 Karangbaru, Cikarang Utara Bekasi",021-89107031,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang Utara Bekasi"
Klinik Epicentrum Medical Center,"Epiwalk Office Suites Lt. 3 Unit B 316-317 Komp. Rasuna Epicentrum, Jl. H.R Rasuna Said , Karet Kuningan, Setiabudi, Jakarta Selatan",021-29912383,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan"
Klinik Medikids BY MHDC Cibubur,"Ruko Cibubur Arden III Unit No.1 Jl. Alternatif Cibubur Kec. Jatisampurna, Bekasi, Jawa Barat",081181930531,"AXA Mandiri Financial Services, Corporate Solution | Jawa Barat"
Klinik Medikids BY MHDC Karawang,"Kavling Kayana Blok XIII-E No.1 DAN 2, Jl.Arteri Galuh Mas, Kec. TelukJambe Timur Karawang Jawa Barat",081181955531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. TelukJambe Timur Karawang Jawa Barat"
Klinik Medikids BY MHDC Lebak Bulus,Komp Bona Indah Bisnis Center No.8 W JL. Karang Tengah Raya Blok B/1 Jakarta Selatan,0811-1905-5531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Komp Bona Indah Bisnis Center No.8 W JL. Karang Tengah Raya Blok B/1 Jakarta Selatan"
Klinik Puri Asih Kosambi,"Jl. Kosambi - Telagasari No.108 Kp.Pundong Rt.02/ Rw.03 Blendung Klari, Karawang Jawa Barat",0267-7301451,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karawang Jawa Barat"
Klinik Putra Medika 4,"Jl. Raya Sukamahi, Tembong Gunung, Sukamahi Cikarang Pusat, Bekasi",021-22158727 / 087779305000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Klinik Saman,"Jl. Camar 11 No. 76, Gg. 4R No.9, Rw.7, Semper Barat, Kec. Cilincing - Jakarta Utara",021-22044228,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Cilincing - Jakarta Utara"
Klinik Utama Telkomedika Telkom Landmark Tower,"Gedung telkom landmark tower lt.2 jl.gatot subroto kav.52, kuningan barat, mampang prapatan",021-27514475,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | mampang prapatan"
Klinik Utama Wisma Rukti,Jl. Pemuda No.75 Kebumen Jawa Tengah,0287-381478,"AXA Mandiri Financial Services, Individu Solution | Jl. Pemuda No.75 Kebumen Jawa Tengah"
Klinikita Cab. Cangkiran,Jl. Jati Kalangan Ruko Delta Asri 3 Kel.Cangkiran Kec.Mijen,024-70880666,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jati Kalangan Ruko Delta Asri 3 Kel.Cangkiran Kec.Mijen"
Klinikita Cab.Kalipancur,Jl. Abdulrahman Saleh Kav.783 Kel.Kalipancur Kec.Ngaliyan Semarang 50183,024-7624455,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Abdulrahman Saleh Kav.783 Kel.Kalipancur Kec.Ngaliyan Semarang 50183"
Klinikita Cab.Kedungmundu,Jl. Kedungmundu Raya Ruko Graha Wahid No.7 Kel.Sambiroto Kec.Tembalang,024-76740217,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kedungmundu Raya Ruko Graha Wahid No.7 Kel.Sambiroto Kec.Tembalang"
Klinikita Cab.Tembalang,Jl. Ngesrep Timur 5 No.36 Kel.Sumur Boto Kec.Banyumanik Semarang,024-7464707,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ngesrep Timur 5 No.36 Kel.Sumur Boto Kec.Banyumanik Semarang"
Klinikita Kahuripan Sidoarjo,"Jl. Raya Kahuripan Nirwana Village Blok B-3A Entalsewu, Buduran –Sidoarjo Jawa Timur",031-99701718,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Buduran –Sidoarjo Jawa Timur"
Klinikita Kertajaya,Jl. Kertajaya No.160 Surabaya Jawa Timur,031-9944520,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kertajaya No.160 Surabaya Jawa Timur"
Kosambi Maternal & Children Center Rawamangun,"Jl. Balai Pustaka Raya No. 2A, Rawamangun, Pulogadung, Jakarta Timur.",021-22485494,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur."
Kosambi Maternal & Children Graha Raya,"Anggrek Loka B8/5 Jl. Boulevard Graha Raya, Pakujaya, Serpong Utara, Tangerang Selatan Banten",021-39524254,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Selatan Banten"
Kosambi Maternal & Children Haji Nawi,Jl. Haji Nawi Raya No. 49C Cilandak Jakarta Selatan,021-27820500,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Haji Nawi Raya No. 49C Cilandak Jakarta Selatan"
Kota Bima,"Jl. Datuk Dibanta Kel.Jatiwangi Kec.Asakota , Kota Bima – Ntb",0813-2734-5242,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kota Bima – Ntb"
Kota Mataram,Jl. Bung Karno No. 3 Mataram – NTB,0370-640774,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Bung Karno No. 3 Mataram – NTB"
Krakatau Medika,"Jl. Semang Raya, Cilegon",0254-396333/372123,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cilegon"
Krakatau Medika Healthcare,Jl. A. Yani No. 114 Serang,0254-204407,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. A. Yani No. 114 Serang"
Kramat 128,Jl. Kramat Raya No.128,021-3909814 / 3918287,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kramat Raya No.128"
Kristen Mojowarno,"Jl. Merdeka No.59, Mojowarno",0321-495093,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Mojowarno"
