nama_rumah_sakit,alamat,telp,text
RS AWAL BROS A. YANI,"JL JEND A YANI NO 73, PEKANBARU",(0761)21000,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA DAAN MOGOT,"JL TAMPAK SIRING BLOK KJG, NO 10, DAAN MOGOT, JAKARTA BARAT",(021)54392150,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA GADING SERPONG,"JL RAYA BOULEVARD, GADING SERPONG BLOK M5 NO 63, TANGERANG",(021)29014884,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA GARUT,"JL. RAYA SAMARANG NO. 104, GARUT",(0262)2246204,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN GARUT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN GARUT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN GARUT | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA GUNAWARMAN JAKSEL,"JL GUNAWARMAN 77, JAKARTA SELATAN, JAKARTA SELATAN",(021)7220203,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA KEDOYA,"JL KEDOYA AGAVE RAYA, PERKANTORAN TOMANG TOL BLOK II, JAKARTA BARAT",(021)5803066,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA KLATEN,"JL.PRAMUKA 44, KLATEN",(0272)324082,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN KLATEN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN KLATEN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN KLATEN | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA KUNINGAN,"JL. ACHMAD YANI NO. 39, KUNINGAN",(0232)876839,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KUNINGAN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KUNINGAN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KUNINGAN | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA MANGKUBUMI YOGYAKARTA,"JL P. MANGKUBUMI NO 50, YOGYAKARTA",(0274)515818,Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA PURBALINGGA,"JL. KOMISARIS NOTOSUMARNO NO.6, PURBALINGGA",(0281)7605997,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN PURBALINGGA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN PURBALINGGA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN PURBALINGGA | - | Rawat_Jalan | - | Optik
KLINIK PRODIA PURI INDAH,"KOMP SENTRA NIAGA PURI INDAH, BLOK T6/28 PURI LINGKAR DALAM, JAKARTA BARAT",(021)58304501,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA PURWOKERTO,"JL. LETJEN S. PARMAN NO. 946 A, PURWOKERTO",(0281)642448,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA SALATIGA,"JL. BRIGJEND.SUDIARTO NO.18 A, SALATIGA",(0298)311371,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SALATIGA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SALATIGA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SALATIGA | - | Rawat_Jalan | - | Optik
KLINIK PRODIA SORONG,"JL. JEND AHMAD YANI, RUKO VINI VIDI VICI NO 7-8, SORONG",(0951)3178505,Global Excel Indonesia | Individu | Cashless | PAPUA BARAT DAYA | KOTA SORONG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | PAPUA BARAT DAYA | KOTA SORONG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | PAPUA BARAT DAYA | KOTA SORONG | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA SUKABUMI,"JL. JEND. SUDIRMAN NO.42 B, BE, SUKABUMI",(0266)6226400,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA SUKABUMI | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA SUKABUMI | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA SUKABUMI | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA SUMEDANG,"JL. P. GEUSANULUN NO. 111, SUMEDANG",(0261)201259,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN SUMEDANG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN SUMEDANG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN SUMEDANG | - | Rawat_Jalan | - | Optik
LABORATORIUM PRODIA TASIKMALAYA,"JL. R.E MARTADINATA NO. 9, TASIKMALAYA",(0265)2353080,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN TASIKMALAYA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN TASIKMALAYA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN TASIKMALAYA | - | Rawat_Jalan | - | Optik
RS PUPUK KALTIM BONTANG,"JL. OKSIGEN NO.1, KOMP. PUPUK KALTIM, BONTANG",(0548)41118,Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BONTANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BONTANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BONTANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PURI ASIH SALATIGA,"JL. JEND. SUDIRMAN NO.169, SALATIGA",(0298)323209,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SALATIGA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SALATIGA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SALATIGA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PURI CINERE,"JL.MARIBAYA NO.1, PURI CINERE, SAWANGAN, DEPOK",(021)7545488,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PUSAT PERTAMINA,"JL. KYAI MAJA NO. 43, KEBAYORAN BARU, JAKARTA SELATAN",(021)7219000,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA PUTRI SURABAYA,"JL ARIEF RAHMAN HAKIM, NO 122, SURABAYA",(031)5999987,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS RAMA HADI,"JL RAYA SADANG SUBANG, DESA CIWANGI BUNGUR SARI, PURWAKARTA",(0264)202136,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN PURWAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN PURWAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN PURWAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS REKSA WALUYA,"JL. MOJOPAHIT 422, MOJOKERTO",(0321)322170,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MOJOKERTO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MOJOKERTO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MOJOKERTO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS ROYAL TARUMA,"JL. DAAN MOGOT NO. 34, GROGOL, JAKARTA BARAT",(021)56958338,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SAMARINDA MEDIKA CITRA,"JL KADRIE OENING NO 81 RT 35, SAMARINDA",(0541)7272401,Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA SAMARINDA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA SAMARINDA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA SAMARINDA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSU SAMARITAN PALU,"JL TOUWA NO 77, PALU",(0451)40100925,Global Excel Indonesia | Individu | Cashless | SULAWESI TENGAH | KOTA PALU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI TENGAH | KOTA PALU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI TENGAH | KOTA PALU | Rawat_Inap | Rawat_Jalan | - | Optik
RS SAN MEDICAL CENTER,"JL A YANI NO 16, KARAWANG",(0264)8389060,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SANTA ANNA KENDARI,"JL. DR. MOH. HATTA NO. 65 A, KENDARI",(040)13123092,Global Excel Indonesia | Individu | Cashless | SULAWESI TENGGARA | KOTA KENDARI | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI TENGGARA | KOTA KENDARI | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI TENGGARA | KOTA KENDARI | Rawat_Inap | Rawat_Jalan | - | Optik
RS SANTA CLARA MADIUN,"JL. BILITON NO.15, MADIUN",(0351)469299,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MADIUN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MADIUN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MADIUN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SANTA MARIA PEKANBARU,"JL. JEND. AHMAD YANI NO. 68, PEKANBARU",(0761)22213,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
RSU SANTA MARIA PEMALANG,"JL. PEMUDA NO.24, PEMALANG",(0284)321251,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN PEMALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN PEMALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN PEMALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SANTO BORROMEUS,"JL. IR. H. JUANDA NO. 100, BANDUNG",(022)2552002,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SANTOSA HOSPITAL BANDUNG KOPO,"JL KH WAHID HASYIM (KOPO), NO 461-463, BANDUNG",(0225)4280333,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SANTOSA HOSPITAL,"JL. KEBON JATI NO.38, BANDUNG",(022)4248333,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SANTO VINCENTIUS SINGKAWANG,"JL P DIPONEGORO NO 5, SINGKAWANG",(0562)636768,Global Excel Indonesia | Individu | Cashless | KALIMANTAN BARAT | KOTA SINGKAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN BARAT | KOTA SINGKAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN BARAT | KOTA SINGKAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SARI ASIH SERANG,"JL. JEND. SUDIRMAN NO. 38, PENANCANGAN, SERANG",(025)4220022,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA SERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA SERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA SERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SEMEN GRESIK,"JL. RA. KARTINI 280, GRESIK",(031)3987840,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN GRESIK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN GRESIK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN GRESIK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SEMEN PADANG,"JL BY PASS KM 7, PADANG",(0751)777888,Global Excel Indonesia | Individu | Cashless | SUMATERA BARAT | KOTA PADANG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA BARAT | KOTA PADANG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA BARAT | KOTA PADANG | Rawat_Inap | Rawat_Jalan | - | Optik
RS SENTRA MEDIKA SANGGAU,"JALAN ANGGREK RT. 013 RW. 003, KELURAHAN ILIR KOTA, KAPUAS, SANGGAU",(0564)24240,Global Excel Indonesia | Individu | Cashless | KALIMANTAN BARAT | KABUPATEN SANGGAU | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN BARAT | KABUPATEN SANGGAU | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN BARAT | KABUPATEN SANGGAU | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM CIREBON (DH PUTERA BAHAGIA),"JL. CIREMAI RAYA NO. 114, PERUMNAS CIREBON, CIREBON",(0231)207351,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS AMBON,"JL. SULTAN HASANUDDIN RT005/05, KEL. HATIVE KECIL, KEC.SIRIMAU, AMBON",(0911)3811900,Global Excel Indonesia | Individu | Cashless | KEPULAUAN MALUKU | KOTA AMBON | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN MALUKU | KOTA AMBON | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN MALUKU | KOTA AMBON | Rawat_Inap | Rawat_Jalan | - | Optik
RS SILOAM HOSPITALS ASRI DUREN TIGA,"JL. DUREN TIGA RAYA NO. 20, DUREN TIGA, KEC. PANCORAN, JAKARTA SELATAN",(021)7992211,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BALIKPAPAN,"JL. MT. HARYONO DALAM NO. 23, RT. 30, KELURAHAN SUNGAI NAN, BALIKPAPAN",(0542)8862999,Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BALIKPAPAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BALIKPAPAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA BALIKPAPAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BALI,"JL SUNSET ROAD NO 818, BADUNG, BADUNG",(0361)779900,Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BANGKA BELITUNG,"JL. SOEKARNO HATTA KM.5, KEL.DUL, KEC.PANGKALAN BARU, BANGKA TENGAH",(027)179190900,Global Excel Indonesia | Individu | Cashless | KEPULAUAN BANGKA BELITUNG | KABUPATEN BANGKA TENGAH | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN BANGKA BELITUNG | KABUPATEN BANGKA TENGAH | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN BANGKA BELITUNG | KABUPATEN BANGKA TENGAH | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BANJARMASIN,"JL A YANI KM 2 RT 014/002 NO 1, KEC. BANJARMASIN TENGAH, BANJARMASIN",(0511)7309700,Global Excel Indonesia | Individu | Cashless | KALIMANTAN SELATAN | KOTA BANJARMASIN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN SELATAN | KOTA BANJARMASIN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN SELATAN | KOTA BANJARMASIN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BEKASI SEPANJANG JAYA,"JL. PRAMUKA NO 12,RAWA PANJANG, RAWA LUMBU, NAROGONG, BEKASI",(021)8221570,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BEKASI TIMUR,"JL. CHAIRIL ANWAR BLU PLAZA, NO.27 RT.004/009, MARGAHAYU, BEKASI",(021)80611900,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BIMC NUSA DUA,"KAWASAN BTDC BLOK D, KUTA SELATAN, BADUNG",(0361)300911,Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS BOGOR,"JL. PAJAJARAN NO.27 RT.001/004, KEL.BABAKAN, KEC.BOGOR TENGAH, BOGOR",(0251)8303900,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
