Unnamed: 0,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Cashless; Semua Provinsi; Semua Kota;,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Source_File,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Reimbursement; Semua Provinsi; Semua Kota;,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Diluar Cakupan Pertanggungan/Perlindungan; Semua Provinsi; Semua Kota;
96,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BOGOR,(0251)7559557,"KOMP PESONA CILEBUT 2 BLOK CB1, NO 3 DS CILEBUT BARAT SUKARAJA, BOGOR
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DR DEWI RAHMAWATI PRAKTEK DOKTER UMUM,
97,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,SUMATERA UTARA,KOTA MEDAN,(8216)6740919,"JL. SUTRISNO NO.131C, SEI RENG, MEDAN
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"DR.DR.ADRIAN KHU,SPOT,FICS,AIFO-K,MHA",
98,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAMBI,KOTA JAMBI,(8237)7836930,"JLN JEND A THALIB NO 41 B, JAMBI
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DRG ASTRID AMALIA,
99,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(021)8201278,"JL. KEMANG PRATAMA BULEVARD, BLOK O NO.14,, BEKASI TIMUR
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DRG. DESY HANDAYANI & PARTNERS,
100,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(0215)9309064,"JL. DAMKAR NO.7, RT.003/RW.003, TANGERANG
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DRG EDDY HALIM,
101,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BOGOR,(0812)9471875,"JL PAJAJARAN 19 BOGOR, JL TENTARA PELAJAR N 1 CIMANGU, BOGOR
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DRG ERNA ARIYANI,
102,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA UTARA,(2198)881686,"JALAN PLUIT KARANG BARAT NO.42, JAKARTA UTARA
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"DRG. JOHNSON PERTIC, SP.PERIO",
103,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA SURABAYA,(031)7314327,"JL RAYA DARMO PERMAI I / 78-80, SURABAYA
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DRG TANTI LENAWATI,
104,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA SUKABUMI,(026)6223070,"JL SILIWANGI NO 61, SUKABUMI
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DR GUNAWAN WIRIADISASTRA,
105,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA SURABAYA,(3138)13548,"JL KENJERAN 368 KAV 14, SURABAYA
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DRG YOHANES SINGGIH K,
106,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA BARAT,(021)5682039,"JL TANJUNG DUREN BARAT II/39, JAKARTA BARAT
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DR HERMAN SETIAWAN,
107,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(2242)24558,"JL. MERDEKA NO.68, BANDUNG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"DR. IMIN SUMARWAN, SP. THT-KL",
108,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,SULAWESI SELATAN,KOTA MAKASSAR,(041)1876968,"JL. CENDRAWASIH NO. 122., MAKASAR
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"DR. IVAN AUWRIADHARMA, M.KES, SPA",
109,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,SUMATERA UTARA,KOTA MEDAN,(8527)5753011,"JL. SABARUDDIN NO.25CC, MEDAN
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"DR. JONY HARTONO, SPA",
110,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,SUMATERA SELATAN,KOTA PALEMBANG,(0711)537204,"JL JEND SUDIRMAN, PALEMBANG, SUMATERA SELATAN
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DR OPI SETIA,
111,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA MALANG,(0341)328201,"JL WELIRANG NO 1 ORO-ORO, MALANG, MALANG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DR.P.Y.ISMAHUN,
112,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA UTARA,(2145)28029,"JL GADING PUTIH RAYA BLOK, GG NO 1 KELAPA GADING PERMAI, JAKARTA UTARA
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DR R H SOETOMO,
113,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,KEPULAUAN RIAU,KOTA BATAM,(7784)88053,"GRAND BATAM MALL LT L1, JL PEMBANGUNAN NAGOYA, BATAM
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,DR SPECS GBM-N,
114,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(021)4255428,"JL.  PERCETAKAN NEGARA NO. 17, JAKARTA PUSAT",YA,YA,YA,YA,Laboratorium,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,E-LABS PERCETAKAN NEGARA TELEMEDIKA,
115,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(021)4255428,"JL.  PERCETAKAN NEGARA NO. 17, JAKARTA PUSAT",YA,YA,YA,YA,Laboratorium,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,E-LABS PERCETAKAN NEGARA TELEMEDIKA,
116,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BOGOR,(21-8)6860577,"JL.RAYA CICADAS, KM.9, NO.21,GUNUNG, PUTRI     , BOGOR
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,EMMA MEDICAL CENTER 2,
117,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA UTARA,(2145)27575,"JL BOULEVARD ARTHA GADING, BLOK D-6 KELAPA GADING, JAKARTA UTARA
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,ERHA ULTIMATE,
118,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(8139)8984069,"JL. A. YANI NO.296, KACAPIRING, BANDUNG
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,EYESOUL,
119,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(0858)05843583,"JL. AHMAD YANI NO.9 RT.009, RW.002 PEKAYON JAYA, BEKASI
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,EYESOUL LIVING PLAZA,
120,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(21-7)267267,"JL.PANGLIMA POLIM II/2 ,      , JAKARTA SELATAN
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,FAMILY DENTISTRY PANGLIMA POLIM,
121,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(0896)46670966,"JL. KUSUMA RAYA UTARA BLOK A, NO.10, BEKASI
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,FAMILY HOME CARE,
122,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(8119)945199,"KINGS SHOPPING CENTER LANTAI D, DASAR GB 12-13, BANDUNG
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,FAMILY OPTIK KING PLAZA,
123,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(21-5)7851127,"GEDUNG BRI II LT.15SUITE, 1509 JL JEND SUDIRMAN NO 44-46, JAKARTA PUSAT
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,FHL DENTAL CLINIC,
124,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(0812)85583247,"JL. KEMANG RAYA NO.70 RT.8/, RW.2 BANGKA, MAMPANG PRAPATAN, JAKARTA SELATAN
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,FISIOTERAPI BEBAS CIDERA,
125,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA UTARA,(21-6)5836485,"JL. SUNTER DANAU UTARABLOK, C1 NO 4B JAKARTA UTARA , JAKARTA UTARA
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,FRIENDLY DENTAL CARE,
126,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(022)4209686,"JL. GARDUJATI NO.78, BANDUNG
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GARDUJATI OPTICAL,
127,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(0812)88099929,"PUSAT GROSIR SENEN JAYA, BLOK 4 LT.1 COUNTER 13, JAKARTA PUSAT
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GARUDA EYEWEAR,
128,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TENGAH,KABUPATEN WONOGIRI,(0271)462262,"JL RAYA SOLO PACITAN, SENDANGREJO BATURETNO, WONOGIRI
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GASANDA KLINIK PRATAMA RAWAT INAP,
129,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,KEPULAUAN RIAU,KABUPATEN BINTAN,(778-)361909,"MUKA KUNING INDAH, BLOKF,, NO.10     , TANJUNG UBAN
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GENTA MEDICAL CENTER,
130,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(021)39855000,"JL MH THAMRIN NO 1, MENTENG, JAKARTA PUSAT
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GERMAN EMBASSY REGIONAL MEDICAL CLINIC,
131,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA DEPOK,(8111)739191,"JL. SENTOSA RAYA NO.49, DEPOK
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GHIGIE MEDICAL CENTER,
132,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA DEPOK,(021)84304576,"JL RAYA LEUWINANGGUNG NO 88, TAPOS, DEPOK
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GIGI-KU PINTA DENTAL CARE,
133,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BALI,KABUPATEN BADUNG,(8133)8426727,"KARANG SUWUNG,GRIYA KUSUMA, NO.8,CANGGU PERMAI KUTA UTARA, BADUNG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GRIYA PHYSIOTHERAPY,
134,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(8118)989266,"JL. INSINYUR H. JUANDA NO.170,, BEKASI
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GROSIR LENSA INDO,
135,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(0812)40004913,"JL. PEJATEN RAYA NO.26, PASAR MINGGU, JAKARTA SELATAN
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GROWS & GIGGLES HEALTHY CLINIC,
136,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TENGAH,KABUPATEN MAGELANG,(0293)3216886,"JL REJOSARI 1 GRABAG, MAGELANG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,GUMUK WALIK MEDIKA,
137,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(21-3)0040151,"MENARA KUNINGAN,JL. HR. RASUNASAID, BLOCK X-7 LT1. UNIT I, KUNINGAN, JAKARTA SELATAN
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,H2E DENTAL CLINIC,
138,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BALI,KOTA DENPASAR,(8781)8333685,"JL. TUKAD BARITO TIMUR, DENPASAR
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,HER KIDS AND FAMILY DENTAL CARE,
139,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TENGAH,KOTA SEMARANG,(024)76488989,"JL JEND POLISI ANTON SOEDARWO, NO 195 A, SEMARANG",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA BANYUMANIK, RS",
140,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)74702525,"JL. KERTAMUKTI NO 2, PISANGAN,, CIPUTAT TIMUR, TANGSEL, TANGERANG",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA CIPUTAT, RS",
141,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BANTEN,KOTA SERANG,(025)4281829,"JL RAYA SERANG-JAKARTA KM 9, DESA RANJENG CIRUAS, SERANG",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA CIRUAS, RS",
142,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,SULAWESI TENGGARA,KOTA KENDARI,(0401)3192525,"JL.D.I PANJAITAN RT 06 RW 03, KEL. WUNDUDOPI, KEC. BARUGA, KENDARI",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA KENDARI, RS",
143,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,SULAWESI UTARA,KOTA MANADO,(0431)7242525,"JL RINGROAD 2 LINGKUNGAN 1, KEL PANIKI BAWAH, KEC MAPANGET, MANADO",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA MANADO, RS",
144,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN BOGOR,(021)29232525,"JL RAYA CILEUNGSI JONGGOL KM 1, KABUPATEN BOGOR, CILEUNGSI",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA MEKARSARI, RS",
145,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,RIAU,KOTA PEKANBARU,(0761)8412020,"JL. TUANKU TAMBUSAI, RT.02, RW, KEL. DELIMA, KEC. TAMPANG, PEKANBARU",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA PEKANBARU, RS",
146,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,KALIMANTAN TIMUR,KOTA SAMARINDA,(0541)2090700,"JL.TEUKU UMAR RT.34, KARANGASAM ILIR, SAMARINDA",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA SAMARINDA, RS",
147,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)75884999,"JL RAYA PUSPITEK KM 8 NO 99, KP SETU RT002/01,BUARAN SERPON, TANGERANG",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA SERPONG, RS",
148,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN BANDUNG,(081)317989946,"JL TERUSAN AL FATHU NO. 9A, KEC. SOREANG, BANDUNG",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA SOREANG, RS",
149,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)55772525,"JL. KS TUBUN NO.10, KEL PASAR BARU, KARAWACI, TANGERANG",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"HERMINA TANGERANG, RS",
150,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(2188)889740,"MEGA OFFICE PARK BLOK OP 2, JL HARAPAN INDAH BOULEVARD, BEKASI BARAT
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,HOPE PHYSIOTHERAPY,
151,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(0227)563701,"JL RANCABOLANG NO.21, BANDUNG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,HUMANA PRIMA,
152,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,KALIMANTAN BARAT,KABUPATEN KETAPANG,(081)521629325,"JL R SUPRAPTO, KETAPANG
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,INDO OPTIK,
153,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TENGAH,KABUPATEN KENDAL,(0294)641870,"JL AR RAHMAH NO 17, WELERI
",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,ISLAM KENDAL,
154,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(021)88387006,"JL BOULEVARD HIJAU BLOK B1, NO 3, BEKASI
",YA,YA,YA,YA,Klinik Gigi,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,JB DENTAL CLINIC ,
155,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TENGAH,KABUPATEN BANYUMAS,(028)17779888,"JL.KH.AHMAD DAHLAN,DUKUHWALUH, KEC.KEMBARAN, BANYUMAS",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"JIH PURWOKERTO, RS",
156,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TENGAH,KOTA SURAKARTA,(0271)7469100,"JL. ADISUCIPTO NO.118, JAJAR, LAWEYAN, SURAKARTA",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"JIH SOLO, RS",
157,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)7980888,"JL. BUNCIT RAYA NO. 15, JAKARTA SELATAN",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"JMC BUNCIT, RS",
158,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BALI,KOTA DENPASAR,(361-)227344,"JL.BELITON NO.1  ,      , DENPASAR
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KASIH IBU MEDICAL CENTER BELITON,
159,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA SURABAYA,(031)5677562,"JL. DIPONEGORO NO. 51, SURABAYA",YA,YA,YA,YA,Rumah Sakit,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"KATOLIK ST.VINCENTIUS A PAOLO (RKZ), RS",
160,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(8139)4346848,"LT 2 SEBERANG SAMSUNG, PASKAL SHOPING CENTER, BANDUNG
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KCMTKU 23 PASKAL,
161,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA MALANG,(8133)5335526,"JL. PANGLIMA SUDIRMAN NO.135, MALANG
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KECE KENDEDES EYE CENTER,
162,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG SELATAN,(0812)91417724,"JL.RAYA PUSPITEK NO.51 BUARAN,, BABAKAN,, TANGERANG SELATAN
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KEHAMILAN SEHAT SERPONG,
163,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)27545454,"JL. AMPERA RAYA NO. 34, JAKARTA SELATAN",YA,YA,YA,YA,Rumah Sakit Khusus,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,"KEMANG MEDICAL CARE, RSIA",
164,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA BARAT,(2133)312149,"RUKAN PARIS BLOK A NO 68, CENGKARENG, JAKARTA BARAT
",YA,YA,YA,YA,Optik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KING JAYA OPTIK,
165,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN GARUT,(0262)444547,"JL RAYA KARANG PAWITAN NO 98, GARUT
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK 11 DUA BELAS MEDICAL CENTER,
166,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,SUMATERA SELATAN,KOTA PALEMBANG,(0711)411143,"JL HM SHALEH NO 1437 KM 7,5, PALEMBANG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK 24 JAM ALIA MEDICA,
167,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(021)89983742,"JL H RATIM NO 143, JATIWANGI CIKARANG BARAT, BEKASI
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK 24 JAM BUNDA AULIA,
168,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN KARAWANG,(0267)8618217,"PERUM PURI KOSAMBI I BLOK B, NO 3-3A KLARI, KARAWANG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK 24 JAM HARAPAN BARU PURI KOSAMBI,
169,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)7198179,"JALAN KEMANG UTARA NO.9C, KEMANG, JAKARTA SELATAN
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK 24 JAM KEMANG UTARA,
170,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN BEKASI,(021)8914110,"DESA TANJUNGBARU, CIKARANG TIMUR, BEKASI
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK 24 JAM NUGRAHA BHAKTI,
171,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN KARAWANG,(0267)510711,"JL RAYA SYEKH QURO, KARAWANG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK 24 JAM TELAGASARI,
172,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)70308183,"JL DR CIPTO MANGUNKUSUMO NO 63, SUDIMARA TIMUR, TANGERANG
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK ABDI MEDIKA,
173,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA SURABAYA,(031)7383077,"JL HR MUHAMMAD KAV 401-403, SURABAYA
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK ABDI MULIA,
174,,Allianz,Individu,Reimbursement,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(21-8)8322959,"JL. PERUMAHAN TAMAN RAYABLOK, D.4 NO 9, TAMBUN BEKASI , BEKASI
",YA,YA,YA,YA,Klinik,,daftar_Allianz Flexi Medical_10-08-2025 (1).xlsx,KLINIK ADITAMA MEDIKA,
